时间(s),温度(℃)
0.0,25.0
0.5,25.019623628382845
1.0,25.07822787520603
1.5,25.175415838893922
2.0,25.310794659132092
2.5,25.48397547571909
3.0,25.694573387837206
3.5,25.942207413737915
4.0,26.226500450837843
4.5,26.547079236221006
5.0,26.903574307543227
5.5,27.295619964334623
6.0,27.722854229696114
6.5,28.18491881238594
7.0,28.68145906929221
7.5,29.212123968287546
8.0,29.776566051461977
8.5,30.374441398730152
9.0,31.00540959180914
9.5,31.669133678562982
10.0,32.365280137710315
10.5,33.09351884389132
11.0,33.85352303309037
11.5,34.64496926841075
12.0,35.46753740619784
12.5,36.32091056250728
13.0,37.20477507991448
13.5,38.11882049466213
14.0,39.06273950414224
14.5,40.0362279347092
15.0,41.03898470982063
15.5,42.07071181850261
16.0,43.13111428413596
16.5,44.21990013356041
17.0,45.336780366493265
17.5,46.48146892525955
18.0,47.65368266483025
18.5,48.85314132316573
19.0,50.079567491861035
19.5,51.32689134027257
20.0,52.56576980015376
20.5,53.79203397035941
21.0,55.00581228988428
21.5,56.20723188995426
22.0,57.39641860734209
22.5,58.57349699754755
23.0,59.73859034784337
23.5,60.891820690188354
24.0,62.03330881400905
24.5,63.163174278851194
25.0,64.28153542690244
25.5,65.38850939538746
26.0,66.48421212883696
26.5,67.56875839123171
27.0,68.64226177802293
27.5,69.70483472803025
28.0,70.7565885352186
28.5,71.79763336035515
29.0,72.82807824254755
29.5,73.84803111066465
30.0,74.85759879464102
30.5,75.85688703666636
31.0,76.84600050226086
31.5,77.82504279123793
32.0,78.79411644855526
32.5,79.75332297505531
33.0,80.70276283809663
33.5,81.64253548207671
34.0,82.57273933884788
34.5,83.49347183802699
35.0,84.40482941720028
35.5,85.30690753202417
36.0,86.19980066622338
36.5,87.0836023414871
37.0,87.95840512726443
37.5,88.82430065046023
38.0,89.68137960503203
38.5,90.52973176148933
39.0,91.3694459762962
39.5,92.20061020117811
40.0,93.02331149233396
40.5,93.83763601955441
41.0,94.64366907524726
41.5,95.44149508337102
42.0,96.23119760827745
42.5,97.01285936346413
43.0,97.78656222023783
43.5,98.55238721628974
44.0,99.31041456418343
44.5,100.0607236597562
45.0,100.80339309043508
45.5,101.53850064346807
46.0,102.26612331407156
46.5,102.98633731349487
47.0,103.69921807700254
47.5,104.4048402717755
48.0,105.10327780473166
48.5,105.79460383026698
49.0,106.4788907579176
49.5,107.15621025994407
50.0,107.82663327883832
50.5,108.4902300347541
51.0,109.14707003286198
51.5,109.79722207062916
52.0,110.44075424502546
52.5,111.07773395965573
53.0,111.70822793181975
53.5,112.33230219950015
