编号,标题,作者,年份,来源,DOI,OA状态,本地文件(相对仓库根),全文TXT,对应问题,关键词,使用要点
L01,A Mathematical Model on Heat Mass Transfer Including Relaxation Time for Different Geometries During Drying of Foods,(ASME),2020,ASME J. Heat Mass Transfer,10.1115/1.4047147,closed,,,Q1(推广),弛豫时间;非Fick;不同几何,仅在讨论非Fick/双相滞后修正时引用;全文闭源
L02,Modeling and simulation of heat and mass transfer in an Ethiopian fresh injera drying process,Solomon A.B.; Fanta S.W.; Delele M.A.; Vanierschot M.,2021,Heliyon 7:e06201 (PMC7892935),10.1016/j.heliyon.2021.e06201,gold,docs/02_Heliyon_Ethiopian_HeatMassTransfer_PMC7892935.pdf,docs/txt/02_Heliyon_Ethiopian_HeatMassTransfer_PMC7892935.txt,Q1;Q2,耦合PDE;FEM;COMSOL;蒸发;验证,"§2.1 耦合控制方程(动量/传质/传热,含饱和度Sw蒸发源项);§2.2 域/初始/边界条件;FEM(COMSOL 5.5)实现与实验验证范式;热质对流系数CHMC写法"
L03,A rigorous analysis of simultaneous heat and mass transfer in the pasta drying process,(Springer),2013,Heat and Mass Transfer,10.1007/s00231-013-1189-9,closed,,,Q1;Q2,二维;面食;耦合,"二维耦合传热传质的严格分析;闭源,按需引用"
L04,Research on Mathematical Model of Hot Air Drying of Onion,—,—,WSR(未收录),—,未知,,,Q2,洋葱;薄层;经验模型,未被Crossref/OpenAlex/S2收录;替代:JFPP2015 DOI 10.1111/jfpp.12610(bronze OA)
L05,"Esquema de discretização Flux-Spline aplicado à secagem, em meio poroso capilar",Oliveira P.C.; Lima J.L.,2003,Rev. Bras. Eng. Agríc. Ambiental 7(1):135-140,10.1590/s1415-43662003000100022,gold,docs/05_SciELO_Luikov_FluxSpline_RBEAA_2003.pdf,docs/txt/05_SciELO_Luikov_FluxSpline_RBEAA_2003.txt,Q1,Luikov方程;有限体积;Flux-Spline;数值格式,"Luikov型湿热耦合方程的守恒型有限体积离散;与src/q1_solve.py的FV格式互为印证;葡语,读摘要p1与结论p5"
L06,Luikov's Analytical Solution with Complex Eigenvalues in Intensive Drying,(Springer),2019,Transport in Porous Media,10.1007/s11242-019-01348-1,closed,,,Q1(写作),解析解;复特征值;Luikov,论证解析解在强化干燥(复特征值)下的局限→支持选数值方法;闭源
L07,"Analysis and Application of Luikov's Heat, Mass, and Pressure Transfer Model to a Capillary Porous Medium",Irudayaraj J.; Wu Y.,1996,Drying Technology,10.1080/07373939608917125,closed,,,Q1(推广),Luikov;压力场;毛细多孔,"含压力梯度的三场Luikov模型;本题未建模压力场,可作为假设论证的反例引用"
L08,Drying model with non-isotropic shrinkage deformation undergoing simultaneous heat and mass transfer,(Drying Technology),2001,Drying Technology,10.1081/drt-100105299,closed,,,Q4,各向异性收缩;耦合,Q4概念引用;实操方法看L09/L10/L12
L09,Non-isothermal Moving-boundary Model for Food Drying,Brasiello A.; Venditti C.; Adrover A.,2021,Chem. Eng. Transactions 87:193-198,10.3303/CET2187033,gold,docs/09_CET_NonIsothermal_MovingBoundary_FoodDrying_2021.pdf,docs/txt/09_CET_NonIsothermal_MovingBoundary_FoodDrying_2021.txt,Q3;Q4,动边界;非等温;收缩;有效扩散率,§3 模型:在等温动边界模型上增加含蒸发与表面收缩的对流-扩散热方程;Table2(p4) Deff=1.557/2.877/9.258e-10 m2/s(25/30/40°C);§4 间歇脱水验证
L10,Modelling of moisture migration during convective drying of pineapple slice considering non-isotropic shrinkage and variable transport properties,Rani P.; Tripathy P.P.,2020,J. Food Sci. Technol. (PMC7447739),10.1007/s13197-020-04407-4,bronze,docs/10_PineappleSlice_NonIsotropicShrinkage_JFST2020_PMC7447739.pdf,docs/txt/10_PineappleSlice_NonIsotropicShrinkage_JFST2020_PMC7447739.txt,Q2;Q3;Q4,各向异性收缩;变物性;平板;Deff,Eq9(p4)变厚度的水分迁移方程;各向异性收缩的几何处理;Deff~3e-10 m2/s;变物性经验式写法
L11,Moisture Dependent Diffusion and Shrinkage in Yam during Drying,Amankwah E.A.; Dzisi K.A.; van Straten G.; van Boxtel A.J.B.,2018,Int. J. Food Engineering(WUR后印本),10.1515/ijfe-2017-0394,green,docs/11_Yam_MoistureDependentDiffusion_Shrinkage_2018.pdf,docs/txt/11_Yam_MoistureDependentDiffusion_Shrinkage_2018.txt,Q3;Q4,山药;收缩实测;D(X);干燥曲线,"§3.1+Table1(p10-11) 30/40/50°C收缩与干基含水率实测(收缩44-64%);Eq12 L(X)=c1X+c2;Eq14-15(p12) log(Vc)=(0.0038T-0.0012)X-0.0065T+0.0738;Table(p24) D=1.1-6.5e-10 m2/s,R2=0.999;用于附件2半径-时间趋势对照与收缩关联式选型"
L12,Modeling Convective Drying of Food Products: The Case Study of Yacon (Smallanthus sonchifolius),Marques B.C.; Flick D.; Tadini C.C.; Plana-Fattori A.,2023,Research Square预印本(CC-BY),10.21203/rs.3.rs-2720541/v1,green,docs/12_Yacon_ConvectiveDrying_ResearchSquare2023.pdf,docs/txt/12_Yacon_ConvectiveDrying_ResearchSquare2023.txt,Q2;Q4,圆柱;收缩映射;柱坐标;数值离散,"§2(p7-8)柱坐标传热传质(2πrδr单元);§3(p9-10)收缩建模(r0δr0映射);§4.1-4.3参数影响;附录p24数值离散(1≤i≤I);与本题圆柱几何最同构,Q4首选"
L13,基于多物理场耦合的热风干燥模型及其验证,胡众欢;杨明金;杨卓然;杨玲,2020,西南大学学报(自然科学版) 42(2),10.13718/j.cnki.xdzk.2020.02.015,本地PDF,docs/基于多物理场耦合的热风干燥模型及其验证_胡众欢.pdf,docs/txt/基于多物理场耦合的热风干燥模型及其验证_胡众欢.txt,Q1;Q2;写作,多物理场耦合;COMSOL;油菜籽;验证,"§1(p2-5)外部热风N-S流场+内部多孔介质湿热迁移(达西/菲克/傅里叶);§2(p5-6)模型验证;§3结果;§4结论;中文写作模板与COMSOL实现参照;注意对象为油菜籽颗粒,几何与参数不可照搬"
L14,Accelerated modelling of moisture diffusion controlled drying using coupled physics informed neural network,Barnard J.E.; Chew Y.M.J.; Perera S.; et al.,2024,Food and Bioproducts Processing,10.1016/j.fbp.2024.02.004,"hybrid CC-BY(出版商反爬,浏览器下载)",,,Q3(展望),CPINN;物理信息神经网络,创新点/展望引用;非主力数值方法
L15,Numerical Modeling of Heat and Mass Transfer in Starch Systems,Irudayaraj J.; Wu Y.,1999,Transactions of the ASAE,10.13031/2013.13377,closed,,,Q1(推广),淀粉体系;有限元;热质压,FEM求解耦合热质(压)传递;姊妹篇JFE1996 DOI 10.1016/0260-8774(96)00008-8
L16,菊花分段式热风烘干工艺研究,张兴亮,2022,中国果菜 42(8):25-29,10.19590/j.cnki.1008-1038.2022.08.004,本地PDF,docs/菊花分段式热风烘干工艺研究_张兴亮.pdf,docs/txt/菊花分段式热风烘干工艺研究_张兴亮.txt,Q2;Q3;写作,分段式;变温;正交试验;快速/降速干燥期;品质,"快速/降速干燥期两阶段划分与'快速期降温增风、降速期升温减风'规律,佐证题目两阶段设置;40-70°C达到烘干终点需62/38/20/14/12 h,可作Q3时长量级对照;L9(3^4)正交+极差分析"
L17,热风烘干对桑葚制干效果的影响,杜娟;廖新福;热比古丽·哈力克;沙吾提·阿布拉江,2018,黑龙江农业科学 2018(3):113-120,10.11942/j.issn1002-2767.2018.03.0113,本地PDF,docs/热风烘干对桑葚制干效果的影响_杜娟.pdf,docs/txt/热风烘干对桑葚制干效果的影响_杜娟.txt,Q2;写作,工艺试验;正交;失重率;含水率;色差,影响含水率的因素主次:品种>起始烘干温度>预处理温度>包装方式;影响色差的主次:预处理温度>起始烘干温度;作背景引用与烘干温度工艺合理性佐证;提示初始状态/预处理应纳入建模输入
