experiment,sample,T_center_1800s_K,T_surface_1800s_K,C_surface_1800s_kgkg,C_avg_1800s_kgkg
E3_noise,1,306.7119015509785,309.8817167806712,1.5102773232072595,2.293557319009316
E3_noise,2,306.72582715496054,309.95345348102626,1.5102813629811462,2.2935591495912138
E3_noise,3,306.73394139505854,309.96526720452687,1.5102543962765012,2.2935568211045476
E3_noise,4,306.7347777495592,309.9555296417791,1.5102646258814945,2.2935556515262325
E3_noise,5,306.709507704573,309.9179030780836,1.5102412064904729,2.293550196411791
E3_noise,6,306.7245780994451,309.9215969416489,1.5102686031323576,2.2935578295355845
E3_noise,7,306.7179564246684,309.90941351883106,1.5102539043261696,2.2935572117729617
E3_noise,8,306.7178785600984,309.89275992708207,1.5102912087678197,2.2935564694955075
E3_noise,9,306.73092055839743,309.9422376645004,1.5103034344676975,2.2935613542723554
E3_noise,10,306.75302151637936,309.9632477172735,1.5102538567656063,2.293554612863014
E3_noise,11,306.7974643838761,309.90102621044866,1.5102651434331764,2.293554374912081
E3_noise,12,306.731935671439,310.0229782345416,1.510244917113911,2.2935520286061544
E3_noise,13,306.72484113255916,309.90165573643577,1.5102572145678785,2.293554867776098
E3_noise,14,306.7136205851274,309.9230693321473,1.5102623048484218,2.2935573164399816
E3_noise,15,306.7397308512293,309.92714658025386,1.510239538236458,2.2935532434053725
E3_noise,16,306.7443320690311,309.9317961983886,1.5102623588529305,2.2935568973352227
E3_noise,17,306.79051040487826,310.0348233135935,1.5102693931108127,2.2935579133982147
E3_noise,18,306.72504418138186,310.0154494776706,1.5102559866398848,2.2935545192188003
E3_noise,19,306.752387890436,309.94410791055833,1.5102594907430538,2.29355670030408
E3_noise,20,306.750865089131,309.95769267677554,1.5102769205479876,2.2935575481216772
E3_noise,21,306.7044515842243,309.9928090527587,1.5102945184057268,2.293555998915151
E3_noise,22,306.69336372396236,309.92283269407926,1.510271302769924,2.293557022649248
E3_noise,23,306.69682313184853,309.86487830264,1.5102692052691173,2.293555449204822
E3_noise,24,306.7073177748727,309.8976450079493,1.5102636950341934,2.2935557974649776
E3_noise,25,306.74066372930275,309.87061415655944,1.5102547267597257,2.2935534151747827
E3_noise,26,306.72470773078356,309.9172092928215,1.510280547752153,2.2935572461669134
E3_noise,27,306.7631653831679,309.9420871662467,1.5102501361822407,2.2935569603147914
E3_noise,28,306.73377532466594,309.9111287873358,1.5102700868663654,2.293557390132878
E3_noise,29,306.7059175555057,309.9299243739609,1.5102589454763156,2.2935539843343458
E3_noise,30,306.698553108968,309.94678429344515,1.5102618320796726,2.293554135389136
E3_noise,31,306.66838153912965,309.87992156833957,1.5102502152709834,2.293554522192354
