literal,status,registry_id,quantity
2026,ALLOW,,
09,ALLOW,,
10,ALLOW,,
6,ALLOW,,
5,ALLOW,,
0,ALLOW,,
6.1,ALLOW,,
2.0,ALLOW,,
5.0,ALLOW,,
8.0,ALLOW,,
11.0,ALLOW,,
1.4184725188,MATCH,F10,本征值 lambda_1 R
4.1664696010,MATCH,F11,本征值 lambda_2 R
7.2084784644,MATCH,F10_3,本征值 lambda_3 R
10.3082731535,ROUNDED,F10_4,本征值 lambda_4 R
6.1,ALLOW,,
2,ALLOW,,
1,ALLOW,,
1,ALLOW,,
11.52,MATCH,F1D_100,"用 feishu A_k 重构常数1 (8项, r/R=1.00)"
5.3,ALLOW,,
1,ALLOW,,
2,ALLOW,,
1,ALLOW,,
200,ALLOW,,
127,MATCH,F30_M200,feishu 原始格式 M=200 dt=0.5 发散时刻
5.3,ALLOW,,
70.78,ROUNDED,F20_M50_leaddoc,"feishu 表面(逐字,θ尺度不一致) vs 解析 max|dT| (M=50,dt=0.500)"
3.49e-6,ROUNDED,F40,max|T_数值 - T_半解析| (0-1800s)
4.19e-2,ROUNDED,F50,max|C_线性化 - C_非线性| (0-1800s)
400,ALLOW,,
6.66e-6,ROUNDED,F22_M400_exact,"CN尺度+精确半CV 表面 vs 解析 max|dT| (M=400,dt=0.500)"
0,ALLOW,,
1800,ALLOW,,
1.8,ALLOW,,
6.3,ALLOW,,
1,ALLOW,,
4,ALLOW,,
4,ALLOW,,
1800,ALLOW,,
1.4019,ROUNDED,F0A,热 Biot 数 Bi = hR/k
0.1383,ROUNDED,F61,max|C_附录3 - C_附录2| (0-1800s)
2,ALLOW,,
4,ALLOW,,
7.55e-2,ROUNDED,F70,附录3 内 T->D 反馈效应 max|dC| (0-1800s)
48.2,ROUNDED,F71_pct,附录3 alpha(C=0.15)/alpha(C=2.55) 的相对变化
3,ALLOW,,
2020,ALLOW,,
13.3,ALLOW,,
0.016,ALLOW,,
1,ALLOW,,
1.1,ALLOW,,
5,ALLOW,,
5.1,ALLOW,,
200,ALLOW,,
0.25,ALLOW,,
5.2,ALLOW,,
0,ALLOW,,
5.3,ALLOW,,
5.4,ALLOW,,
5.5,ALLOW,,
6,ALLOW,,
6.1,ALLOW,,
6.2,ALLOW,,
6.3,ALLOW,,
6.3,ALLOW,,
10,ALLOW,,
2.00,ALLOW,,
4,ALLOW,,
6,ALLOW,,
1.2,ALLOW,,
6.1,ALLOW,,
1.388889,ROUNDED,F0A,热 Biot 数 Bi = hR/k
6.1,ALLOW,,
2,ALLOW,,
10,ALLOW,,
1.265822137,ROUNDED,F12,正确展开系数 c_1
1.265822137,ROUNDED,F12,正确展开系数 c_1
10,ALLOW,,
3.49e-6,ROUNDED,F40,max|T_数值 - T_半解析| (0-1800s)
1,ALLOW,,
1,ALLOW,,
3.6e-15,ROUNDED,X01,两独立求根器的最大本征值差 (k=1..8)
1,ALLOW,,
50,ALLOW,,
60,ALLOW,,
300,ALLOW,,
900,ALLOW,,
1800,ALLOW,,
0,ALLOW,,
1,ALLOW,,
5.684e-14,ROUNDED,X04_t60,两独立级数实现在 t=60 s 时的最大差
1,ALLOW,,
1.9e-15,ROUNDED,X04_t300,两独立级数实现在 t=300 s 时的最大差
8,ALLOW,,
100,ALLOW,,
3.49e-6,ROUNDED,F40,max|T_数值 - T_半解析| (0-1800s)
1.3,ALLOW,,
6.1,ALLOW,,
6.1,ALLOW,,
1,ALLOW,,
2.0,ALLOW,,
5.0,ALLOW,,
8.0,ALLOW,,
11.0,ALLOW,,
6.1,ALLOW,,
1,ALLOW,,
2.0,ALLOW,,
1.4184725188,MATCH,F10,本征值 lambda_1 R
-4.4408920985e-16,MATCH,F17_1,根 lambda_1 R 处 x J1 - Bi J0 残差
2,ALLOW,,
5.0,ALLOW,,
4.1664696010,MATCH,F11,本征值 lambda_2 R
2.2204460493e-16,MATCH,F17_2,根 lambda_2 R 处 x J1 - Bi J0 残差
3,ALLOW,,
8.0,ALLOW,,
7.2084784644,MATCH,F10_3,本征值 lambda_3 R
7.7715611724e-16,MATCH,F17_3,根 lambda_3 R 处 x J1 - Bi J0 残差
4,ALLOW,,
11.0,ALLOW,,
10.3082731535,ROUNDED,F10_4,本征值 lambda_4 R
9.9920072216e-16,MATCH,F17_4,根 lambda_4 R 处 x J1 - Bi J0 残差
6.7,ROUNDED,F19_5,feishu A_5/(T0-Tinf)
41,ROUNDED,T03_1,表值相对真值偏差 (%) x_1
2.0,ALLOW,,
5.0,ALLOW,,
8.0,ALLOW,,
11.0,ALLOW,,
1.4185,ROUNDED,F10,本征值 lambda_1 R
4.1665,ROUNDED,F11,本征值 lambda_2 R
7.2085,ROUNDED,F10_3,本征值 lambda_3 R
10.3083,ROUNDED,F10_4,本征值 lambda_4 R
41,ROUNDED,T03_1,表值相对真值偏差 (%) x_1
20,ALLOW,,
11,ALLOW,,
6.7,ROUNDED,F19_5,feishu A_5/(T0-Tinf)
8,ALLOW,,
4.94e-15,ROUNDED,F17,max|x J1 - Bi J0| (前8个根)
1,ALLOW,,
5.1518,ROUNDED,T06_1,表值 x=2 反推的 Bi
9.2226,ROUNDED,T06_2,表值 x=5 反推的 Bi
10.9355,ROUNDED,E14_dt7.5_max,用户格式 dt=7.5s 的 T 最大值
11.3595,ROUNDED,F1D_100,"用 feishu A_k 重构常数1 (8项, r/R=1.00)"
2,ALLOW,,
1.389,ALLOW,,
3.0,ALLOW,,
2.748,ROUNDED,T08_1,真根间隔 x_1->x_2
3.042,ROUNDED,T08_2,真根间隔 x_2->x_3
3.100,ALLOW,,
3.1416,ALLOW,,
6.1,ALLOW,,
1.4,ALLOW,,
6.1,ALLOW,,
6.1,ALLOW,,
2,ALLOW,,
2,ALLOW,,
1.2,ALLOW,,
1,ALLOW,,
1,ALLOW,,
625,ALLOW,,
625,ALLOW,,
324,ALLOW,,
25,ALLOW,,
18,ALLOW,,
625,ALLOW,,
324,ALLOW,,
1,ALLOW,,
1,ALLOW,,
625,ALLOW,,
625,ALLOW,,
6,ALLOW,,
1,ALLOW,,
1,ALLOW,,
1,ALLOW,,
1.418473,ROUNDED,F10,本征值 lambda_1 R
1.2658221367,MATCH,F12,正确展开系数 c_1
2.5861431395,MATCH,F13,feishu A_1/(T0-Tinf)
0.489463,ROUNDED,F14,c_1 / A_1(feishu)
0.489463,ROUNDED,F14,c_1 / A_1(feishu)
2,ALLOW,,
4.166470,ROUNDED,F11,本征值 lambda_2 R
-0.3779735278,ROUNDED,F18_2,正确展开系数 c_2
-3.7794135076,MATCH,F19_2,feishu A_2/(T0-Tinf)
0.100009,ROUNDED,F1A_2,c_2 / A_2(feishu)
0.100009,ROUNDED,F1A_2,c_2 / A_2(feishu)
3,ALLOW,,
7.208478,ROUNDED,F10_3,本征值 lambda_3 R
0.1749635067,MATCH,F18_3,正确展开系数 c_3
4.8879877959,MATCH,F19_3,feishu A_3/(T0-Tinf)
0.035795,ROUNDED,F1A_3,c_3 / A_3(feishu)
0.035795,ROUNDED,F1A_3,c_3 / A_3(feishu)
4,ALLOW,,
10.308273,ROUNDED,F10_4,本征值 lambda_4 R
-0.1037590628,ROUNDED,F18_4,正确展开系数 c_4
-5.8193727782,MATCH,F19_4,feishu A_4/(T0-Tinf)
0.017830,ROUNDED,F1A_4,c_4 / A_4(feishu)
0.017830,ROUNDED,F1A_4,c_4 / A_4(feishu)
5,ALLOW,,
13.427161,ROUNDED,F10_5,本征值 lambda_5 R
0.0701872141,ROUNDED,F18_5,正确展开系数 c_5
6.6299995535,MATCH,F19_5,feishu A_5/(T0-Tinf)
0.010586,ROUNDED,F1A_5,c_5 / A_5(feishu)
0.010586,ROUNDED,F1A_5,c_5 / A_5(feishu)
6,ALLOW,,
16.554544,ROUNDED,F10_6,本征值 lambda_6 R
-0.0514113586,ROUNDED,F18_6,正确展开系数 c_6
-7.3553735523,MATCH,F19_6,feishu A_6/(T0-Tinf)
0.006990,ROUNDED,F1A_6,c_6 / A_6(feishu)
0.006990,ROUNDED,F1A_6,c_6 / A_6(feishu)
0.489,ALLOW,,
0.00699,ROUNDED,F1A_6,c_6 / A_6(feishu)
8,ALLOW,,
1,ALLOW,,
1,ALLOW,,
0.00,ALLOW,,
0.98569120,ROUNDED,F1C_0,"用正确 c_k 重构常数1 (8项, r/R=0.00)"
-3.46211833,ROUNDED,F1D_0,"用 feishu A_k 重构常数1 (8项, r/R=0.00)"
0.25,ALLOW,,
0.99707317,ROUNDED,F1C_0,"用正确 c_k 重构常数1 (8项, r/R=0.00)"
0.14736226,ROUNDED,F1D_25,"用 feishu A_k 重构常数1 (8项, r/R=0.25)"
0.50,ALLOW,,
0.99772822,ROUNDED,F1C_0,"用正确 c_k 重构常数1 (8项, r/R=0.00)"
0.43520130,ROUNDED,F1D_50,"用 feishu A_k 重构常数1 (8项, r/R=0.50)"
0.75,ALLOW,,
0.99696024,ROUNDED,F1C_0,"用正确 c_k 重构常数1 (8项, r/R=0.00)"
0.52760459,ROUNDED,F1D_75,"用 feishu A_k 重构常数1 (8项, r/R=0.75)"
1.00,ALLOW,,
0.96381405,ROUNDED,F1C_100,"用正确 c_k 重构常数1 (8项, r/R=1.00)"
11.52000000,MATCH,F1D_100,"用 feishu A_k 重构常数1 (8项, r/R=1.00)"
8,ALLOW,,
