document,line,token,value,status,source,rel_dev,context
problem2_slove.md,3,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> 本文求解 `problem2.md` 建立的模型，给出问题二要求的表 3、表 4 与 `result2.xlsx`。
problem2_slove.md,3,3,3.0,ALLOW,3 h,0.0,> 本文求解 `problem2.md` 建立的模型，给出问题二要求的表 3、表 4 与 `result2.xlsx`。
problem2_slove.md,3,4,4.0,ALLOW,结构/常数,0.0,> 本文求解 `problem2.md` 建立的模型，给出问题二要求的表 3、表 4 与 `result2.xlsx`。
problem2_slove.md,3,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> 本文求解 `problem2.md` 建立的模型，给出问题二要求的表 3、表 4 与 `result2.xlsx`。
problem2_slove.md,9,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_latent_heat.py` | 汽化潜热 $H(T)$ 的热力学推导与 IAPWS-95 定标 | `outputs/registry_q
problem2_slove.md,9,-95,-95.0,ALLOW,国际水物性标准名 IAPWS-95 中的 '-95',0.0,> | `python src/q2_latent_heat.py` | 汽化潜热 $H(T)$ 的热力学推导与 IAPWS-95 定标 | `outputs/registry_q
problem2_slove.md,9,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_latent_heat.py` | 汽化潜热 $H(T)$ 的热力学推导与 IAPWS-95 定标 | `outputs/registry_q
problem2_slove.md,10,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_energy_algebra.py` | 能量方程正确形式的符号推导与量级核验 | `outputs/registry_q2_energy.c
problem2_slove.md,10,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_energy_algebra.py` | 能量方程正确形式的符号推导与量级核验 | `outputs/registry_q2_energy.c
problem2_slove.md,11,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_model_numbers.py` | 模型中全部可复算数字 | `outputs/registry_q2_model.csv` |
problem2_slove.md,11,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_model_numbers.py` | 模型中全部可复算数字 | `outputs/registry_q2_model.csv` |
problem2_slove.md,12,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_solve.py --selftest` | 质量矩阵恒等式、Jacobian 有限差分校核 | 控制台 |
problem2_slove.md,13,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_verify.py` | 收敛性、守恒性、极值原理、模型变体对照（V0–V11） | `outputs/q2_verify.log`, `ou"
problem2_slove.md,13,0,0.0,ALLOW,零,0.0,"> | `python src/q2_verify.py` | 收敛性、守恒性、极值原理、模型变体对照（V0–V11） | `outputs/q2_verify.log`, `ou"
problem2_slove.md,13,11,11.0,ALLOW,结构,0.0,"> | `python src/q2_verify.py` | 收敛性、守恒性、极值原理、模型变体对照（V0–V11） | `outputs/q2_verify.log`, `ou"
problem2_slove.md,13,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_verify.py` | 收敛性、守恒性、极值原理、模型变体对照（V0–V11） | `outputs/q2_verify.log`, `ou"
problem2_slove.md,13,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_verify.py` | 收敛性、守恒性、极值原理、模型变体对照（V0–V11） | `outputs/q2_verify.log`, `ou"
problem2_slove.md,14,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_produce.py` | 生产计算 | `outputs/result2.xlsx`, `outputs/q2_production.log"
problem2_slove.md,14,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_produce.py` | 生产计算 | `outputs/result2.xlsx`, `outputs/q2_production.log"
problem2_slove.md,14,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_produce.py` | 生产计算 | `outputs/result2.xlsx`, `outputs/q2_production.log"
problem2_slove.md,14,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,"> | `python src/q2_produce.py` | 生产计算 | `outputs/result2.xlsx`, `outputs/q2_production.log"
problem2_slove.md,15,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_reconcile.py` | 数字对账（两关） | `outputs/reconciliation_q2.csv` |
problem2_slove.md,15,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> | `python src/q2_reconcile.py` | 数字对账（两关） | `outputs/reconciliation_q2.csv` |
problem2_slove.md,17,3.12,3.12,ALLOW,Python 3.12,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
problem2_slove.md,17,3,3.0,ALLOW,3 h,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
problem2_slove.md,17,2.5,2.5,ALLOW,结构: 2.5 h,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
problem2_slove.md,17,1,1.0,ALLOW,题面: 半径网格 1 cm,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
problem2_slove.md,17,1.18,1.18,ALLOW,scipy 1.18.1,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
problem2_slove.md,17,1,1.0,ALLOW,题面: 半径网格 1 cm,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
problem2_slove.md,17,3.1,3.1,ALLOW,openpyxl 3.1.2,0.0,> 环境：Python 3.12.3，numpy 2.5.1，scipy 1.18.1，openpyxl 3.1.2，iapws 1.5.5。
