id,quantity,value,unit,uncertainty,source,command,note
F09,D(C=0.15) (问题3 判据处),1.8547445946e-11,m^2/s,解析精确,附录2,python src/feishu_compare.py,用于说明 D 的跨度
F0A,热 Biot 数 Bi = hR/k,1.3888888889e+00,-,解析精确,附录2,python src/feishu_compare.py,
F01,alpha (精确),1.6885553471e-07,m^2/s,解析精确,附录2,python src/feishu_compare.py,
F02,feishu alpha 相对偏差,-5.4812222222e-01,%,解析精确,feishu §2.1,python src/feishu_compare.py,文中 1.6793e-7
F03,tau_T (精确 alpha),2.3688888889e+03,s,解析精确,附录2,python src/feishu_compare.py,
F04,tau_T (feishu alpha),2.3819448580e+03,s,解析精确,feishu §4.2,python src/feishu_compare.py,
F05,D(C0=2.55),4.9376550942e-09,m^2/s,解析精确,附录2,python src/feishu_compare.py,
F06,tau_C = R^2/D(C0),8.1010113580e+04,s,解析精确,附录2,python src/feishu_compare.py,
F07,Le = alpha/D(C0),3.4197515114e+01,-,解析精确,附录2,python src/feishu_compare.py,feishu 写 ~300
F08,使 D=5.593e-10 的 C,3.5219914763e-01,kg/kg,解析精确,附录2,python src/feishu_compare.py,feishu 标为 D0
F10,本征值 lambda_1 R,1.4184725188e+00,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F11,本征值 lambda_2 R,4.1664696010e+00,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F12,正确展开系数 c_1,1.2658221367e+00,-,闭式,解析,python src/feishu_compare.py,
F13,feishu A_1/(T0-Tinf),2.5861431395e+00,-,feishu §6.1,,python src/feishu_compare.py,
F14,c_1 / A_1(feishu),4.8946329281e-01,-,解析,比值,python src/feishu_compare.py,
F17,max|x J1 - Bi J0| (前8个根),4.9404924596e-15,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_1,本征值 lambda_1 R,1.4184725188e+00,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_1,根 lambda_1 R 处 x J1 - Bi J0 残差,-4.4408920985e-16,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_2,本征值 lambda_2 R,4.1664696010e+00,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_2,根 lambda_2 R 处 x J1 - Bi J0 残差,2.2204460493e-16,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_3,本征值 lambda_3 R,7.2084784644e+00,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_3,根 lambda_3 R 处 x J1 - Bi J0 残差,7.7715611724e-16,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_4,本征值 lambda_4 R,1.0308273154e+01,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_4,根 lambda_4 R 处 x J1 - Bi J0 残差,9.9920072216e-16,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_5,本征值 lambda_5 R,1.3427161386e+01,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_5,根 lambda_5 R 处 x J1 - Bi J0 残差,2.7755575616e-16,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_6,本征值 lambda_6 R,1.6554543956e+01,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_6,根 lambda_6 R 处 x J1 - Bi J0 残差,-4.9404924596e-15,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_7,本征值 lambda_7 R,1.9686418661e+01,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_7,根 lambda_7 R 处 x J1 - Bi J0 残差,2.9698465909e-15,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F10_8,本征值 lambda_8 R,2.2820950730e+01,-,解析,式(11) 数值求根,python src/feishu_compare.py,
F17_8,根 lambda_8 R 处 x J1 - Bi J0 残差,-1.8318679906e-15,-,解析,式(11) 求根残差,python src/feishu_compare.py,
F18_1,正确展开系数 c_1,1.2658221367e+00,-,闭式,解析,python src/feishu_compare.py,
F19_1,feishu A_1/(T0-Tinf),2.5861431395e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1A_1,c_1 / A_1(feishu),4.8946329281e-01,-,解析,比值,python src/feishu_compare.py,
F1B_1,1/(1+(x_1/Bi)^2),4.8946329281e-01,-,解析,预测比值,python src/feishu_compare.py,
F18_2,正确展开系数 c_2,-3.7797352777e-01,-,闭式,解析,python src/feishu_compare.py,
F19_2,feishu A_2/(T0-Tinf),-3.7794135076e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1A_2,c_2 / A_2(feishu),1.0000851376e-01,-,解析,比值,python src/feishu_compare.py,
F1B_2,1/(1+(x_2/Bi)^2),1.0000851376e-01,-,解析,预测比值,python src/feishu_compare.py,
F18_3,正确展开系数 c_3,1.7496350670e-01,-,闭式,解析,python src/feishu_compare.py,
F19_3,feishu A_3/(T0-Tinf),4.8879877959e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1A_3,c_3 / A_3(feishu),3.5794587468e-02,-,解析,比值,python src/feishu_compare.py,
F1B_3,1/(1+(x_3/Bi)^2),3.5794587468e-02,-,解析,预测比值,python src/feishu_compare.py,
F18_4,正确展开系数 c_4,-1.0375906284e-01,-,闭式,解析,python src/feishu_compare.py,
F19_4,feishu A_4/(T0-Tinf),-5.8193727782e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1A_4,c_4 / A_4(feishu),1.7829939203e-02,-,解析,比值,python src/feishu_compare.py,
F1B_4,1/(1+(x_4/Bi)^2),1.7829939203e-02,-,解析,预测比值,python src/feishu_compare.py,
F18_5,正确展开系数 c_5,7.0187214131e-02,-,闭式,解析,python src/feishu_compare.py,
F19_5,feishu A_5/(T0-Tinf),6.6299995535e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1A_5,c_5 / A_5(feishu),1.0586307520e-02,-,解析,比值,python src/feishu_compare.py,
F1B_5,1/(1+(x_5/Bi)^2),1.0586307520e-02,-,解析,预测比值,python src/feishu_compare.py,
F18_6,正确展开系数 c_6,-5.1411358640e-02,-,闭式,解析,python src/feishu_compare.py,
F19_6,feishu A_6/(T0-Tinf),-7.3553735523e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1A_6,c_6 / A_6(feishu),6.9896325829e-03,-,解析,比值,python src/feishu_compare.py,
F1B_6,1/(1+(x_6/Bi)^2),6.9896325829e-03,-,解析,预测比值,python src/feishu_compare.py,
F1C_0,"用正确 c_k 重构常数1 (8项, r/R=0.00)",9.8569119727e-01,-,解析,截断误差,python src/feishu_compare.py,
F1D_0,"用 feishu A_k 重构常数1 (8项, r/R=0.00)",-3.4621183327e+00,-,feishu §6.1,,python src/feishu_compare.py,
F1C_25,"用正确 c_k 重构常数1 (8项, r/R=0.25)",9.9707316971e-01,-,解析,截断误差,python src/feishu_compare.py,
F1D_25,"用 feishu A_k 重构常数1 (8项, r/R=0.25)",1.4736225605e-01,-,feishu §6.1,,python src/feishu_compare.py,
F1C_50,"用正确 c_k 重构常数1 (8项, r/R=0.50)",9.9772822422e-01,-,解析,截断误差,python src/feishu_compare.py,
F1D_50,"用 feishu A_k 重构常数1 (8项, r/R=0.50)",4.3520129800e-01,-,feishu §6.1,,python src/feishu_compare.py,
F1C_75,"用正确 c_k 重构常数1 (8项, r/R=0.75)",9.9696024400e-01,-,解析,截断误差,python src/feishu_compare.py,
F1D_75,"用 feishu A_k 重构常数1 (8项, r/R=0.75)",5.2760459085e-01,-,feishu §6.1,,python src/feishu_compare.py,
F1C_100,"用正确 c_k 重构常数1 (8项, r/R=1.00)",9.6381404991e-01,-,解析,截断误差,python src/feishu_compare.py,
F1D_100,"用 feishu A_k 重构常数1 (8项, r/R=1.00)",1.1520000000e+01,-,feishu §6.1,,python src/feishu_compare.py,
F15,"重构常数1误差(8项,r=R), 正确 c_k",3.6185950087e-02,-,解析,截断,python src/feishu_compare.py,
F16,"重构常数1误差(8项,r=R), feishu A_k",1.0520000000e+01,-,解析,feishu §6.1,python src/feishu_compare.py,
F20_M50_leaddoc,"feishu 表面(逐字,θ尺度不一致) vs 解析 max|dT| (M=50,dt=0.500)",7.0847546857e+01,K,解析级数 400 项,A2,python src/feishu_compare.py,
F21_M50_leadcn,"CN尺度+leading几何 表面 vs 解析 max|dT| (M=50,dt=0.500)",2.9939865886e-02,K,解析级数 400 项,A2,python src/feishu_compare.py,
F22_M50_exact,"CN尺度+精确半CV 表面 vs 解析 max|dT| (M=50,dt=0.500)",5.4151160111e-04,K,解析级数 400 项,A2,python src/feishu_compare.py,
F20_M100_leaddoc,"feishu 表面(逐字,θ尺度不一致) vs 解析 max|dT| (M=100,dt=0.500)",7.0781394818e+01,K,解析级数 400 项,A2,python src/feishu_compare.py,
F21_M100_leadcn,"CN尺度+leading几何 表面 vs 解析 max|dT| (M=100,dt=0.500)",1.5114289899e-02,K,解析级数 400 项,A2,python src/feishu_compare.py,
F22_M100_exact,"CN尺度+精确半CV 表面 vs 解析 max|dT| (M=100,dt=0.500)",1.3407633162e-04,K,解析级数 400 项,A2,python src/feishu_compare.py,
F24_M100_leaddoc,"逐字 误差比 (M=100, 相对上一档 M=50)",1.0009345964e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F24_M100_leadcn,"leading几何 误差比 (M=100, 相对上一档 M=50)",1.9808979506e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F24_M100_exact,"精确半CV 误差比 (M=100, 相对上一档 M=50)",4.0388306763e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F20_M200_leaddoc,"feishu 表面(逐字,θ尺度不一致) vs 解析 max|dT| (M=200,dt=0.500)",7.0748267040e+01,K,解析级数 400 项,A2,python src/feishu_compare.py,
F21_M200_leadcn,"CN尺度+leading几何 表面 vs 解析 max|dT| (M=200,dt=0.500)",7.5931086515e-03,K,解析级数 400 项,A2,python src/feishu_compare.py,
F22_M200_exact,"CN尺度+精确半CV 表面 vs 解析 max|dT| (M=200,dt=0.500)",3.2147145703e-05,K,解析级数 400 项,A2,python src/feishu_compare.py,
F24_M200_leaddoc,"逐字 误差比 (M=200, 相对上一档 M=100)",1.0004682486e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F24_M200_leadcn,"leading几何 误差比 (M=200, 相对上一档 M=100)",1.9905272785e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F24_M200_exact,"精确半CV 误差比 (M=200, 相对上一档 M=100)",4.1707071869e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F20_M400_leaddoc,"feishu 表面(逐字,θ尺度不一致) vs 解析 max|dT| (M=400,dt=0.500)",7.0731686330e+01,K,解析级数 400 项,A2,python src/feishu_compare.py,
F21_M400_leadcn,"CN尺度+leading几何 表面 vs 解析 max|dT| (M=400,dt=0.500)",3.8051967479e-03,K,解析级数 400 项,A2,python src/feishu_compare.py,
F22_M400_exact,"CN尺度+精确半CV 表面 vs 解析 max|dT| (M=400,dt=0.500)",6.6596097099e-06,K,解析级数 400 项,A2,python src/feishu_compare.py,
F24_M400_leaddoc,"逐字 误差比 (M=400, 相对上一档 M=200)",1.0002344170e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F24_M400_leadcn,"leading几何 误差比 (M=400, 相对上一档 M=200)",1.9954575688e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F24_M400_exact,"精确半CV 误差比 (M=400, 相对上一档 M=200)",4.8271816372e+00,-,解析,A2,python src/feishu_compare.py,"≈2 一阶, ≈4 二阶"
F25_M100_dt1_lead_doc,时间步细化 M=100 dt=1 lead_doc,7.0781413981e+01,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt1_lead_cn,时间步细化 M=100 dt=1 lead_cn,1.5111250554e-02,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt1_exact_cn,时间步细化 M=100 dt=1 exact_cn,1.2856783536e-04,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p25_lead_doc,时间步细化 M=100 dt=0.25 lead_doc,7.0781390027e+01,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p25_lead_cn,时间步细化 M=100 dt=0.25 lead_cn,1.5115049700e-02,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p25_exact_cn,时间步细化 M=100 dt=0.25 exact_cn,1.3545349157e-04,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p0625_lead_doc,时间步细化 M=100 dt=0.0625 lead_doc,7.0781388530e+01,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p0625_lead_cn,时间步细化 M=100 dt=0.0625 lead_cn,1.5115287118e-02,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p0625_exact_cn,时间步细化 M=100 dt=0.0625 exact_cn,1.3588390874e-04,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p015625_lead_doc,时间步细化 M=100 dt=0.015625 lead_doc,7.0781388436e+01,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p015625_lead_cn,时间步细化 M=100 dt=0.015625 lead_cn,1.5115301899e-02,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F25_M100_dt0p015625_exact_cn,时间步细化 M=100 dt=0.015625 exact_cn,1.3591077726e-04,K,解析级数 400 项,A2b,python src/feishu_compare.py,
F26,逐字格式误差对 dt 的敏感度 |err(dt=1)-err(dt=1/64)| (M=100),2.5544574470e-05,K,解析级数 400 项,A2b,python src/feishu_compare.py,≈0 说明误差不是时间离散误差
F30_M200,feishu 原始格式 M=200 dt=0.5 发散时刻,1.2700000000e+02,s,数值,A3,python src/feishu_compare.py,未发散则 nan
F30_M800,feishu 原始格式 M=800 dt=0.5 发散时刻,6.2500000000e+01,s,数值,A3,python src/feishu_compare.py,未发散则 nan
F40,max|T_数值 - T_半解析| (0-1800s),3.4936501265e-06,K,运行,B,python src/feishu_compare.py,"M=1600,dt=2^-5"
F41,"T 数值耗时 (M=1600,dt=2^-5)",4.4511468000e+00,s,运行,B,python src/feishu_compare.py,
F42,T 半解析耗时 (400 项),7.8791799999e-02,s,运行,B,python src/feishu_compare.py,
F43,"T(1800s,r=0) 数值",3.0672583087e+02,K,运行,B,python src/feishu_compare.py,
F44,"T(1800s,r=R) 数值",3.0993578369e+02,K,运行,B,python src/feishu_compare.py,
F50,max|C_线性化 - C_非线性| (0-1800s),4.1861810290e-02,kg/kg,运行,B2,python src/feishu_compare.py,
F51,"C(1800s,r=0) 非线性",2.5499922528e+00,kg/kg,运行,B2,python src/feishu_compare.py,
F52,"C(1800s,r=R) 非线性",1.5102912463e+00,kg/kg,运行,B2,python src/feishu_compare.py,
F53,Bi_m = hm R / D(C0),3.2404045432e+00,-,解析,B2,python src/feishu_compare.py,
F80_app2_rho,附录2 初态 rho,8.2000000000e+02,kg/m^3,解析,附录2,python src/feishu_compare.py,
F80_app2_cp,附录2 初态 cp,2.6000000000e+03,J/(kg K),解析,附录2,python src/feishu_compare.py,
F80_app2_k,附录2 初态 k,3.6000000000e-01,W/(m K),解析,附录2,python src/feishu_compare.py,
F80_app2_D,附录2 初态 D,4.9376550942e-09,m^2/s,解析,附录2,python src/feishu_compare.py,
F80_app2_alpha,附录2 初态 alpha,1.6885553471e-07,m^2/s,解析,附录2,python src/feishu_compare.py,
F80_app3_rho,附录3 初态 rho,9.7640000000e+02,kg/m^3,解析,附录3,python src/feishu_compare.py,
