id,quantity,value,unit,uncertainty,source,command,note
P01,热扩散系数 alpha = k/(rho cp),1.6885553470919e-07,m^2/s,解析精确,附录2,python src/q1_solve.py,
P02,用户文中 alpha 数值 1.679e-7 的相对偏差,0.0056910941583874,-,解析精确,用户方案 2.1,python src/q1_solve.py,"用户写 1.679e-7, 实为 1.6886e-7"
P03,D(C0=2.55),4.9376550941739e-09,m^2/s,解析精确,附录2,python src/q1_solve.py,
P04,D(C=0.15),1.8547445945663e-11,m^2/s,解析精确,附录2,python src/q1_solve.py,问题3阈值处
P05,D(C=0.0331),1.471273937048e-20,m^2/s,解析精确,附录2,python src/q1_solve.py,1800s C_inf
P06,D 在 C0..0.0331 上的量级跨度,335604061884.01,-,解析精确,附录2,python src/q1_solve.py,12 个数量级
P06b,D(C0)/D(0.15) (初始 vs 问题3阈值),266.2175217353,-,解析精确,附录2,python src/q1_solve.py,干壳效应的量级
P07,热 Biot 数 Bi = hR/k,1.3888888888889,-,解析精确,附录2,python src/q1_solve.py,>0.1 内部温度不均匀
P08,传质 Biot 数 Bi_m = hm R/D(C0),3.240404543217,-,解析精确,附录2,python src/q1_solve.py,
P09,导热特征时间 R^2/alpha,2368.8888888889,s,解析精确,附录2,python src/q1_solve.py,与 1800 s 比较
P09b,导热穿透深度 sqrt(alpha*t) (t=1800s),1.7433873995086,cm,解析精确,附录2,python src/q1_solve.py,轴向影响深度估计
P09c,湿分特征时间 / 导热特征时间,34.197515113688,-,解析比值,附录2,python src/q1_solve.py,时间尺度分离度
P24_T100,附件1 T_inf(t=100s),28.970666666667,degC,附件1 原始点,附件1,python src/q1_solve.py,
P24_T1800,附件1 T_inf(t=1800s),41.513,degC,附件1 原始点,附件1,python src/q1_solve.py,
P25,T_inf(1800s) - T_surface(1800s),4.727216242899,degC,解析差值,附件1,python src/q1_solve.py,表面滞后于烘房的温差
P26,附件1 C_inf(1800s),0.03307,kg/kg,附件1 原始点,附件1,python src/q1_solve.py,
P10,含水率扩散特征时间 R^2/D(C0),81010.113580426,s,解析精确,附录2,python src/q1_solve.py,
P11,长径比 L/R,12.5,-,解析精确,题面,python src/q1_solve.py,
P12,端面面积/侧面面积,0.04,-,解析精确,题面,python src/q1_solve.py,忽略轴向的相对误差量级
P13,附件1 温度范围,28.000..50.246,degC,解析精确,附件1,python src/q1_solve.py,
P14,附件1 水分浓度范围,0.01963..0.05025,kg/kg,解析精确,附件1,python src/q1_solve.py,
P15,附件1 采样间隔,60,s,解析精确,附件1,python src/q1_solve.py,
P16,附件1 C_inf 下降步数 / 总步数,80/240,-,解析精确,附件1,python src/q1_solve.py,非单调 => 数据含噪声
P17,附件1 C_inf 最大单步降幅,0.00044,kg/kg,解析精确,附件1,python src/q1_solve.py,
P18,附件1 T_inf 下降步数 / 总步数,95/240,-,解析精确,附件1,python src/q1_solve.py,
