id,quantity,value,unit,uncertainty,source,command,note
H00_tau4.0,"解析解 T(r=R,1800s), 子步长 htau=4.0s",36.785787292466,degC,解析精确,run S1,python src/q1_analytic_vs_numeric.py,
H00_tau2.0,"解析解 T(r=R,1800s), 子步长 htau=2.0s",36.785784728854,degC,解析精确,run S1,python src/q1_analytic_vs_numeric.py,
H00d_tau2.0,解析解自收敛: htau=2.0s 与最细之差,2.5636120994932e-06,K,解析差值,run S1,python src/q1_analytic_vs_numeric.py,
H00_tau1.0,"解析解 T(r=R,1800s), 子步长 htau=1.0s",36.785784003917,degC,解析精确,run S1,python src/q1_analytic_vs_numeric.py,
H00d_tau1.0,解析解自收敛: htau=1.0s 与最细之差,7.2493679681429e-07,K,解析差值,run S1,python src/q1_analytic_vs_numeric.py,
H00_tau0.5,"解析解 T(r=R,1800s), 子步长 htau=0.5s",36.785783808431,degC,解析精确,run S1,python src/q1_analytic_vs_numeric.py,
H00d_tau0.5,解析解自收敛: htau=0.5s 与最细之差,1.9548593854779e-07,K,解析差值,run S1,python src/q1_analytic_vs_numeric.py,
H00_tau0.25,"解析解 T(r=R,1800s), 子步长 htau=0.25s",36.785783757101,degC,解析精确,run S1,python src/q1_analytic_vs_numeric.py,
H00d_tau0.25,解析解自收敛: htau=0.25s 与最细之差,5.1330061978661e-08,K,解析差值,run S1,python src/q1_analytic_vs_numeric.py,
H01,"解析解 T(r=R,t=1800s) (htau=0.25 s)",36.785783757101,degC,<1e-6 K (自收敛),run S1,python src/q1_analytic_vs_numeric.py,
H02_nm50,"模态数=50 时 T(r=R,1800s)",36.785784941711,degC,解析,run S1,python src/q1_analytic_vs_numeric.py,htau=0.5s
H02_nm100,"模态数=100 时 T(r=R,1800s)",36.785783947149,degC,解析,run S1,python src/q1_analytic_vs_numeric.py,htau=0.5s
H02_nm200,"模态数=200 时 T(r=R,1800s)",36.78578382379,degC,解析,run S1,python src/q1_analytic_vs_numeric.py,htau=0.5s
H02_nm400,"模态数=400 时 T(r=R,1800s)",36.785783808431,degC,解析,run S1,python src/q1_analytic_vs_numeric.py,htau=0.5s
H02_nm800,"模态数=800 时 T(r=R,1800s)",36.785783806515,degC,解析,run S1,python src/q1_analytic_vs_numeric.py,htau=0.5s
H02b,级数初始条件重构误差 (120 项),0.0023502586600359,-,解析自检,run S1,python src/q1_analytic_vs_numeric.py,应随项数下降
H02,表1 位置 max|数值-解析|,7.4957097240258e-06,K,vs 解析解,run S2,python src/q1_analytic_vs_numeric.py,7时刻x5半径
H03,该差值 / 四位小数阈值 5e-5,0.14991419448052,倍,解析比值,run S2,python src/q1_analytic_vs_numeric.py,<1 表示四位小数一致
HA_T100_r0,"T 解析解 (t=100s, r=0cm)",28.000048849858,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T100_r0,"T 数值解 (t=100s, r=0cm)",28.000048906517,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T100_r0,"T 差 数值-解析 (t=100s, r=0cm)",5.6659303027118e-08,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T100_r0,"tex表C 偏差书写值 (t=100s, r=0cm, 单位 1e-6 K)",0.0567,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T100_r0.5,"T 解析解 (t=100s, r=0.5cm)",28.000323073697,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T100_r0.5,"T 数值解 (t=100s, r=0.5cm)",28.000323258983,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T100_r0.5,"T 差 数值-解析 (t=100s, r=0.5cm)",1.852862396845e-07,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T100_r0.5,"tex表C 偏差书写值 (t=100s, r=0.5cm, 单位 1e-6 K)",0.185,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T100_r1.0,"T 解析解 (t=100s, r=1.0cm)",28.003849211337,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T100_r1.0,"T 数值解 (t=100s, r=1.0cm)",28.003850024595,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T100_r1.0,"T 差 数值-解析 (t=100s, r=1.0cm)",8.1325782730346e-07,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T100_r1.0,"tex表C 偏差书写值 (t=100s, r=1.0cm, 单位 1e-6 K)",0.813,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T100_r1.5,"T 解析解 (t=100s, r=1.5cm)",28.031876340474,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T100_r1.5,"T 数值解 (t=100s, r=1.5cm)",28.031878406996,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T100_r1.5,"T 差 数值-解析 (t=100s, r=1.5cm)",2.066522313271e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T100_r1.5,"tex表C 偏差书写值 (t=100s, r=1.5cm, 单位 1e-6 K)",2.07,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T100_r2.0,"T 解析解 (t=100s, r=2.0cm)",28.179527245258,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T100_r2.0,"T 数值解 (t=100s, r=2.0cm)",28.179529659162,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T100_r2.0,"T 差 数值-解析 (t=100s, r=2.0cm)",2.4139039283e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T100_r2.0,"tex表C 偏差书写值 (t=100s, r=2.0cm, 单位 1e-6 K)",2.41,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T300_r0,"T 解析解 (t=300s, r=0cm)",28.040629512058,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T300_r0,"T 数值解 (t=300s, r=0cm)",28.040632423745,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T300_r0,"T 差 数值-解析 (t=300s, r=0cm)",2.9116872610757e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T300_r0,"tex表C 偏差书写值 (t=300s, r=0cm, 单位 1e-6 K)",2.91,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T300_r0.5,"T 解析解 (t=300s, r=0.5cm)",28.063370041501,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T300_r0.5,"T 数值解 (t=300s, r=0.5cm)",28.063373121769,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T300_r0.5,"T 差 数值-解析 (t=300s, r=0.5cm)",3.0802674473307e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T300_r0.5,"tex表C 偏差书写值 (t=300s, r=0.5cm, 单位 1e-6 K)",3.08,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T300_r1.0,"T 解析解 (t=300s, r=1.0cm)",28.151285426648,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T300_r1.0,"T 数值解 (t=300s, r=1.0cm)",28.15128885148,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T300_r1.0,"T 差 数值-解析 (t=300s, r=1.0cm)",3.4248316751473e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T300_r1.0,"tex表C 偏差书写值 (t=300s, r=1.0cm, 单位 1e-6 K)",3.42,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T300_r1.5,"T 解析解 (t=300s, r=1.5cm)",28.367251523861,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T300_r1.5,"T 数值解 (t=300s, r=1.5cm)",28.367255544385,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T300_r1.5,"T 差 数值-解析 (t=300s, r=1.5cm)",4.0205242157754e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T300_r1.5,"tex表C 偏差书写值 (t=300s, r=1.5cm, 单位 1e-6 K)",4.02,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T300_r2.0,"T 解析解 (t=300s, r=2.0cm)",28.848593899398,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T300_r2.0,"T 数值解 (t=300s, r=2.0cm)",28.848597567789,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T300_r2.0,"T 差 数值-解析 (t=300s, r=2.0cm)",3.6683904340862e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T300_r2.0,"tex表C 偏差书写值 (t=300s, r=2.0cm, 单位 1e-6 K)",3.67,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
HA_T600_r0,"T 解析解 (t=600s, r=0cm)",28.453346781049,degC,解析精确,run S2,python src/q1_analytic_vs_numeric.py,
HN_T600_r0,"T 数值解 (t=600s, r=0cm)",28.453353034773,degC,vs 解析 <1e-5 K,run S2,python src/q1_analytic_vs_numeric.py,
HD_T600_r0,"T 差 数值-解析 (t=600s, r=0cm)",6.2537236544813e-06,K,解析差值,run S2,python src/q1_analytic_vs_numeric.py,
HT_T600_r0,"tex表C 偏差书写值 (t=600s, r=0cm, 单位 1e-6 K)",6.25,1e-6 K,tex 表C 书写值,run S2,python src/q1_analytic_vs_numeric.py,3 位有效数字
