id,quantity,value,unit,uncertainty,source,command,note
X01,result1.xlsx 温度工作表 行数,1800,行,结构,outputs/result1.xlsx,python src/q1_produce.py,t=1..1800 s
X02,result1.xlsx 温度工作表 列数,21,列,结构,outputs/result1.xlsx,python src/q1_produce.py,"r=0..2.0 cm, 步长 0.1 cm"
X03,输出半径步长,0.1,cm,结构,outputs/result1.xlsx,python src/q1_produce.py,
X04,输出时间步长,1.0,s,结构,outputs/result1.xlsx,python src/q1_produce.py,
T1_100_0p0,"表1 温度 T(r=0.0cm, t=100s)",28.0000,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_100_0p5,"表1 温度 T(r=0.5cm, t=100s)",28.0003,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_100_1p0,"表1 温度 T(r=1.0cm, t=100s)",28.0039,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_100_1p5,"表1 温度 T(r=1.5cm, t=100s)",28.0319,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_100_2p0,"表1 温度 T(r=2.0cm, t=100s)",28.1795,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_300_0p0,"表1 温度 T(r=0.0cm, t=300s)",28.0406,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_300_0p5,"表1 温度 T(r=0.5cm, t=300s)",28.0634,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_300_1p0,"表1 温度 T(r=1.0cm, t=300s)",28.1513,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_300_1p5,"表1 温度 T(r=1.5cm, t=300s)",28.3673,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_300_2p0,"表1 温度 T(r=2.0cm, t=300s)",28.8486,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_600_0p0,"表1 温度 T(r=0.0cm, t=600s)",28.4534,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_600_0p5,"表1 温度 T(r=0.5cm, t=600s)",28.5361,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_600_1p0,"表1 温度 T(r=1.0cm, t=600s)",28.8039,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_600_1p5,"表1 温度 T(r=1.5cm, t=600s)",29.3156,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_600_2p0,"表1 温度 T(r=2.0cm, t=600s)",30.1641,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_900_0p0,"表1 温度 T(r=0.0cm, t=900s)",29.3243,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_900_0p5,"表1 温度 T(r=0.5cm, t=900s)",29.4583,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_900_1p0,"表1 温度 T(r=1.0cm, t=900s)",29.8758,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_900_1p5,"表1 温度 T(r=1.5cm, t=900s)",30.6164,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_900_2p0,"表1 温度 T(r=2.0cm, t=900s)",31.7295,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_1200_0p0,"表1 温度 T(r=0.0cm, t=1200s)",30.5429,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_1200_0p5,"表1 温度 T(r=0.5cm, t=1200s)",30.7099,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_1200_1p0,"表1 温度 T(r=1.0cm, t=1200s)",31.2225,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_1200_1p5,"表1 温度 T(r=1.5cm, t=1200s)",32.1130,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
T1_1200_2p0,"表1 温度 T(r=2.0cm, t=1200s)",33.4295,degC,<3.7e-06 K (离散),outputs/result1.xlsx,python src/q1_produce.py,"生产解 M=3200, dt=2^-8 s"
