id,quantity,value,unit,uncertainty,source,command,note
OAT_h_T中心,灵敏度 S(中心差分) T中心(1800s) <- h(±10%),0.008573056082806303,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_h_T表面,灵敏度 S(中心差分) T表面(1800s) <- h(±10%),0.011402484104588747,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_h_C表面,灵敏度 S(中心差分) C表面(1800s) <- h(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_h_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- h(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_hm_T中心,灵敏度 S(中心差分) T中心(1800s) <- hm(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_hm_T表面,灵敏度 S(中心差分) T表面(1800s) <- hm(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_hm_C表面,灵敏度 S(中心差分) C表面(1800s) <- hm(±10%),-0.4749164281944022,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_hm_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- hm(±10%),-0.07635039504245016,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_D0_T中心,灵敏度 S(中心差分) T中心(1800s) <- D0(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_D0_T表面,灵敏度 S(中心差分) T表面(1800s) <- D0(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_D0_C表面,灵敏度 S(中心差分) C表面(1800s) <- D0(±10%),0.2189038817387092,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_D0_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- D0(±10%),-0.016845239223998772,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_k_T中心,灵敏度 S(中心差分) T中心(1800s) <- k(±10%),0.007669455961478502,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_k_T表面,灵敏度 S(中心差分) T表面(1800s) <- k(±10%),-0.0015124362310989124,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_k_C表面,灵敏度 S(中心差分) C表面(1800s) <- k(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_k_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- k(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_rho_T中心,灵敏度 S(中心差分) T中心(1800s) <- rho(±10%),-0.016207893052777797,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_rho_T表面,灵敏度 S(中心差分) T表面(1800s) <- rho(±10%),-0.00988103587489079,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_rho_C表面,灵敏度 S(中心差分) C表面(1800s) <- rho(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_rho_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- rho(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_cp_T中心,灵敏度 S(中心差分) T中心(1800s) <- cp(±10%),-0.016207893052777797,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_cp_T表面,灵敏度 S(中心差分) T表面(1800s) <- cp(±10%),-0.00988103587489079,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_cp_C表面,灵敏度 S(中心差分) C表面(1800s) <- cp(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_cp_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- cp(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_T0_T中心,灵敏度 S(中心差分) T中心(1800s) <- T0(±10%),0.26946090505501685,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_T0_T表面,灵敏度 S(中心差分) T表面(1800s) <- T0(±10%),0.14848616671764428,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_T0_C表面,灵敏度 S(中心差分) C表面(1800s) <- T0(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_T0_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- T0(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_C0_T中心,灵敏度 S(中心差分) T中心(1800s) <- C0(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_C0_T表面,灵敏度 S(中心差分) T表面(1800s) <- C0(±10%),0.0,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_C0_C表面,灵敏度 S(中心差分) C表面(1800s) <- C0(±10%),1.0972424561156282,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
OAT_C0_C体积,灵敏度 S(中心差分) C体积平均(1800s) <- C0(±10%),0.9913917625083316,-,OAT ±10%,outputs/q1_sensitivity_*.csv,python src/q1_sensitivity.py,
