id,quantity,value,unit,uncertainty,source,command,note
U01,时间步加密 (dt/2): 温度最大偏差,3.7418708416226e-06,K,dt/2 校核,outputs/q1_production.log,python src/q1_produce.py,
U02,时间步加密 (dt/2): 水分最大偏差,8.0285687964476e-06,kg/kg,dt/2 校核,outputs/q1_production.log,python src/q1_produce.py,
U03,网格加密 (M x2): 温度最大偏差,6.1154139530117e-08,K,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U04,网格加密 (M x2): 水分最大偏差,1.170905968273e-05,kg/kg,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U10_t1_9s_T,"分时段网格加密最大偏差 (温度, t=1..9 s)",1.540399807709e-08,K,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U11_t1_9s_C,"分时段网格加密最大偏差 (水分, t=1..9 s)",1.170905968273e-05,kg/kg,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U10_t10_99s_T,"分时段网格加密最大偏差 (温度, t=10..99 s)",4.7512855871901e-08,K,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U11_t10_99s_C,"分时段网格加密最大偏差 (水分, t=10..99 s)",3.448625765845e-06,kg/kg,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U10_t100_599s_T,"分时段网格加密最大偏差 (温度, t=100..599 s)",6.1154139530117e-08,K,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U11_t100_599s_C,"分时段网格加密最大偏差 (水分, t=100..599 s)",8.7065880860493e-07,kg/kg,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U10_t600_1800s_T,"分时段网格加密最大偏差 (温度, t=600..1800 s)",4.96704615216e-08,K,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U11_t600_1800s_C,"分时段网格加密最大偏差 (水分, t=600..1800 s)",2.3491613898585e-07,kg/kg,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U10_t1_1800s_T,"分时段网格加密最大偏差 (温度, t=1..1800 s)",6.1154139530117e-08,K,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U11_t1_1800s_C,"分时段网格加密最大偏差 (水分, t=1..1800 s)",1.170905968273e-05,kg/kg,M 加倍校核,outputs/q1_production.log,python src/q1_produce.py,
U20,t=1800s 表面含水率 C(r=R),1.5102352056331,kg/kg,生产解,outputs/q1_production.log,python src/q1_produce.py,
U21,t=1800s 环境含水率 C_inf,0.03307,kg/kg,附件1,outputs/q1_production.log,python src/q1_produce.py,
U22,t=1800s C(r=R)/C_inf,45.667832042125,-,解析比值,outputs/q1_production.log,python src/q1_produce.py,
