id,quantity,value,unit,uncertainty,source,command,note
AB_Tr=0_a3,"附录3: T(r=0, 1800 s) / degC",32.105611353548,degC,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Tr=0_a2,"附录2: T(r=0, 1800 s) / degC",33.47711723084,degC,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Tr=0_d,"附录3 - 附录2: T(r=0, 1800 s) / degC",-1.3715058772921,degC,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Tr=R_a3,"附录3: T(r=R, 1800 s) / degC",35.313105752637,degC,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Tr=R_a2,"附录2: T(r=R, 1800 s) / degC",36.679359477856,degC,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Tr=R_d,"附录3 - 附录2: T(r=R, 1800 s) / degC",-1.3662537252194,degC,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Cr=0_a3,"附录3: C(r=0, 1800 s) / (kg/kg)",2.5499355746995,kg/kg,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Cr=0_a2,"附录2: C(r=0, 1800 s) / (kg/kg)",2.5499923846696,kg/kg,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Cr=0_d,"附录3 - 附录2: C(r=0, 1800 s) / (kg/kg)",-5.6809970120586e-05,kg/kg,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Cr=R_a3,"附录3: C(r=R, 1800 s) / (kg/kg)",1.6475141864122,kg/kg,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Cr=R_a2,"附录2: C(r=R, 1800 s) / (kg/kg)",1.5102393567674,kg/kg,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Cr=R_d,"附录3 - 附录2: C(r=R, 1800 s) / (kg/kg)",0.13727482964477,kg/kg,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_maxdT,0~1800 s 附录3 与 附录2 的温度最大差,1.3914216537095,K,物性口径对比,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_maxdC,0~1800 s 附录3 与 附录2 的水分最大差,0.13727482964477,kg/kg,物性口径对比,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_W0_app3,app3: 初始总水量 W(0),0.00051,kg/kg*m^2,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_W1800_app3,app3: t=1800 s 总水量 W,0.00045654901598347,kg/kg*m^2,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_loss_app3,app3: 0~1800 s 失水率,10.48058510128,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_W0_app2,app2: 初始总水量 W(0),0.00051,kg/kg*m^2,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_W1800_app2,app2: t=1800 s 总水量 W,0.00045871079865838,kg/kg*m^2,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_loss_app2,app2: 0~1800 s 失水率,10.056706145416,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p3_rho,附录3 在 C=2.55 的 rho,976.4,kg/m^3,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p3_cp,附录3 在 C=2.55 的 cp,3415.2957746479,J/(kg K),,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p3_k,附录3 在 C=2.55 的 k,0.48295774647887,W/(m K),,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p3_rcp,附录3 在 C=2.55 的 rcp,3334694.7943662,J/(m^3 K),,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p3_alpha,附录3 在 C=2.55 的 alpha,1.4482817057045e-07,m^2/s,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p2_rho,附录2 在 C=2.55 的 rho,820,kg/m^3,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p2_cp,附录2 在 C=2.55 的 cp,2600,J/(kg K),,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p2_k,附录2 在 C=2.55 的 k,0.36,W/(m K),,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p2_rcp,附录2 在 C=2.55 的 rcp,2132000,J/(m^3 K),,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_p2_alpha,附录2 在 C=2.55 的 alpha,1.6885553470919e-07,m^2/s,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_rho,附录3 相对 附录2 的 rho 差,19.073170731707,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_abs_rho,"同上, 取绝对值",19.073170731707,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_cp,附录3 相对 附录2 的 cp 差,31.357529794149,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_abs_cp,"同上, 取绝对值",31.357529794149,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_k,附录3 相对 附录2 的 k 差,34.154929577465,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_abs_k,"同上, 取绝对值",34.154929577465,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_rcp,附录3 相对 附录2 的 rcp 差,56.411575720741,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_abs_rcp,"同上, 取绝对值",56.411575720741,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_alpha,附录3 相对 附录2 的 alpha 差,-14.229538984387,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_pdiff_abs_alpha,"同上, 取绝对值",14.229538984387,%,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_D3_2.55_28,"附录3 D(C=2.55, T=28)",5.6416803730257e-09,m^2/s,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_D2_2.55_28,"附录2 D(C=2.55, T=28)",4.9376550941739e-09,m^2/s,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_Dratio_2.55_28,"D 比值 附录3/附录2 (C=2.55, T=28)",1.1425829195082,-,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_D3_2.55_35,"附录3 D(C=2.55, T=35)",7.5427995491101e-09,m^2/s,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
AB_D2_2.55_35,"附录2 D(C=2.55, T=35)",4.9376550941739e-09,m^2/s,,python src/q2_app2_vs_app3.py,python src/q2_app2_vs_app3.py,
