id,quantity,value,unit,uncertainty,source,command,note
CN_coef_lumped,集中质量 r=0 的等效系数 (单位 alpha/dr^2),3,-,解析: (k/2)/(rho cp dr^2/6),python src/q2_center_node.py,python src/q2_center_node.py,
CN_coef_halfcv,半控制体 r=0 的等效系数 (单位 alpha/dr^2),4,-,解析: 精确柱坐标算子,python src/q2_center_node.py,python src/q2_center_node.py,
CN_coef_ratio,集中质量 / 半控制体 的 r=0 系数之比,0.75,-,解析,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M25,lumped 口径 M=25 的最大温度偏差,0.0098421361795999,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M25_c,lumped 口径 M=25 的中心温度偏差,0.0098421361795999,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M25,halfcv 口径 M=25 的最大温度偏差,0.0011083939068612,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M25_c,halfcv 口径 M=25 的中心温度偏差,0.00057960289666426,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M50,lumped 口径 M=50 的最大温度偏差,0.0028339545564222,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M50_c,lumped 口径 M=50 的中心温度偏差,0.0028339545564222,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_ratio_M50,lumped 口径 M=25->50 的偏差比值,3.4729336634196,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M50,halfcv 口径 M=50 的最大温度偏差,0.00027226198716335,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M50_c,halfcv 口径 M=50 的中心温度偏差,0.00014917740111287,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_ratio_M50,halfcv 口径 M=25->50 的偏差比值,4.071056405668,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M100,lumped 口径 M=100 的最大温度偏差,0.00080435279619451,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M100_c,lumped 口径 M=100 的中心温度偏差,0.00080435279619451,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_ratio_M100,lumped 口径 M=50->100 的偏差比值,3.5232730834405,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M100,halfcv 口径 M=100 的最大温度偏差,6.3113861813235e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M100_c,halfcv 口径 M=100 的中心温度偏差,4.1030790100649e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_ratio_M100,halfcv 口径 M=50->100 的偏差比值,4.3138223417387,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M200,lumped 口径 M=200 的最大温度偏差,0.00022781057811017,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M200_c,lumped 口径 M=200 的中心温度偏差,0.00022781057811017,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_ratio_M200,lumped 口径 M=100->200 的偏差比值,3.5307965190516,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M200,halfcv 口径 M=200 的最大温度偏差,1.5583006302222e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M200_c,halfcv 口径 M=200 的中心温度偏差,1.3957474607196e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_ratio_M200,halfcv 口径 M=100->200 的偏差比值,4.0501723858146,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M400,lumped 口径 M=400 的最大温度偏差,6.6405058305463e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M400_c,lumped 口径 M=400 的中心温度偏差,6.6405058305463e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_ratio_M400,lumped 口径 M=200->400 的偏差比值,3.4306208581617,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M400,halfcv 口径 M=400 的最大温度偏差,9.1915906068607e-06,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M400_c,halfcv 口径 M=400 的中心温度偏差,7.1866631969897e-06,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_ratio_M400,halfcv 口径 M=200->400 的偏差比值,1.695354696345,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M800,lumped 口径 M=800 的最大温度偏差,2.1737139491051e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_M800_c,lumped 口径 M=800 的中心温度偏差,2.1737139491051e-05,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_lumped_ratio_M800,lumped 口径 M=400->800 的偏差比值,3.0549124613568,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M800,halfcv 口径 M=800 的最大温度偏差,8.0719501625026e-06,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_M800_c,halfcv 口径 M=800 的中心温度偏差,5.4937893310125e-06,K,Bessel 解析解,python src/q2_center_node.py,python src/q2_center_node.py,
CN_halfcv_ratio_M800,halfcv 口径 M=400->800 的偏差比值,1.1387075516843,-,收敛比,python src/q2_center_node.py,python src/q2_center_node.py,
