id,quantity,value,unit,uncertainty,source,command,note
VT_ref_dt8,时间收敛的最粗网格基准解,dt=1/8 s,-,-,q2_convergence.py,python src/q2_convergence.py,作为下一次比较的基准
VT_dT_16,dt 减半到 1/16 s 时的温度最大偏差,0.00011045401328147,K,时间收敛,q2_convergence.py,python src/q2_convergence.py,
VT_dC_16,dt 减半到 1/16 s 时的水分最大偏差,0.00026643289742756,kg/kg,时间收敛,q2_convergence.py,python src/q2_convergence.py,
VT_dT_32,dt 减半到 1/32 s 时的温度最大偏差,5.5229237602816e-05,K,时间收敛,q2_convergence.py,python src/q2_convergence.py,
VT_dC_32,dt 减半到 1/32 s 时的水分最大偏差,0.00013278342671663,kg/kg,时间收敛,q2_convergence.py,python src/q2_convergence.py,
VT_ratio_T_32,温度偏差之比 (相邻 dt),1.9999192108319,-,时间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 2 为一阶
VT_ratio_C_32,水分偏差之比 (相邻 dt),2.0065222295863,-,时间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 2 为一阶
VT_order_T_32,温度观测阶 log2(比值),0.99994172175681,-,时间收敛,q2_convergence.py,python src/q2_convergence.py,
VT_order_C_32,水分观测阶 log2(比值),1.0046971393405,-,时间收敛,q2_convergence.py,python src/q2_convergence.py,
VS_err_M25,Bessel 基准 M=25 的最大温度偏差,0.0011083939068612,K,空间收敛,q2_convergence.py,python src/q2_convergence.py,来源 registry_q2_center
VS_ratio_50,Bessel 基准: M 由 25 加密到 50 的误差之比,4.0710564056678,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 4 为二阶
VS_order_50,Bessel 基准观测阶 (M=50),2.0254032105748,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,
VS_err_M50,Bessel 基准 M=50 的最大温度偏差,0.00027226198716335,K,空间收敛,q2_convergence.py,python src/q2_convergence.py,来源 registry_q2_center
VS_ratio_100,Bessel 基准: M 由 50 加密到 100 的误差之比,4.3138223417388,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 4 为二阶
VS_order_100,Bessel 基准观测阶 (M=100),2.1089667625044,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,
VS_err_M100,Bessel 基准 M=100 的最大温度偏差,6.3113861813235e-05,K,空间收敛,q2_convergence.py,python src/q2_convergence.py,来源 registry_q2_center
VS_ratio_200,Bessel 基准: M 由 100 加密到 200 的误差之比,4.0501723858146,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 4 为二阶
VS_order_200,Bessel 基准观测阶 (M=200),2.0179833141373,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,
VS_err_M200,Bessel 基准 M=200 的最大温度偏差,1.5583006302222e-05,K,空间收敛,q2_convergence.py,python src/q2_convergence.py,来源 registry_q2_center
VS_ratio_400,Bessel 基准: M 由 200 加密到 400 的误差之比,1.695354696345,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 4 为二阶
VS_order_400,Bessel 基准观测阶 (M=400),0.76158714069154,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,
VS_err_M400,Bessel 基准 M=400 的最大温度偏差,9.1915906068607e-06,K,空间收敛,q2_convergence.py,python src/q2_convergence.py,来源 registry_q2_center
VS_ratio_800,Bessel 基准: M 由 400 加密到 800 的误差之比,1.1387075516843,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,比值 -> 4 为二阶
VS_order_800,Bessel 基准观测阶 (M=800),0.18739727478163,-,空间收敛,q2_convergence.py,python src/q2_convergence.py,
VS_err_M800,Bessel 基准 M=800 的最大温度偏差,8.0719501625026e-06,K,空间收敛,q2_convergence.py,python src/q2_convergence.py,来源 registry_q2_center
V0_dT,两套独立实现退化解的最大温度差,3.7965719457134e-10,K,求解器一致性,q2_convergence.py,python src/q2_convergence.py,
V0_dC,两套独立实现退化解的最大水分差,2.5131008385415e-12,kg/kg,求解器一致性,q2_convergence.py,python src/q2_convergence.py,
VJ_default,解析 Jacobian vs 有限差分 (默认),2.2502539802473e-07,-,Jacobian 核验,q2_convergence.py,python src/q2_convergence.py,
VJ_hevaoff,解析 Jacobian vs 有限差分 (H_evap = 0),2.2502539802473e-07,-,Jacobian 核验,q2_convergence.py,python src/q2_convergence.py,
VJ_hevaconst,解析 Jacobian vs 有限差分 (H_evap = 常数),2.2502539802473e-07,-,Jacobian 核验,q2_convergence.py,python src/q2_convergence.py,
VJ_conserv,解析 Jacobian vs 有限差分 (守恒形式),5.537585564478e-09,-,Jacobian 核验,q2_convergence.py,python src/q2_convergence.py,
