id,quantity,value,unit,uncertainty,source,command,note
DV_nRows,result2.xlsx 时间行数,10800,-,,python src/q2_derive.py,python src/q2_derive.py,
DV_nCols,result2.xlsx 半径列数,21,-,,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_h0.5,表3: t=0.5 h 温度径向跨距 (表面-中心),3.2075,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cspan_h0.5,表4: t=0.5 h 水分径向跨距 (中心-表面),0.9024,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_h1.0,表3: t=1.0 h 温度径向跨距 (表面-中心),2.6165,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cspan_h1.0,表4: t=1.0 h 水分径向跨距 (中心-表面),1.0562,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_h1.5,表3: t=1.5 h 温度径向跨距 (表面-中心),1.2951,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cspan_h1.5,表4: t=1.5 h 水分径向跨距 (中心-表面),1.0409,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_h2.0,表3: t=2.0 h 温度径向跨距 (表面-中心),0.5562,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cspan_h2.0,表4: t=2.0 h 水分径向跨距 (中心-表面),0.9424,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_h2.5,表3: t=2.5 h 温度径向跨距 (表面-中心),0.1979,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cspan_h2.5,表4: t=2.5 h 水分径向跨距 (中心-表面),0.8425,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_h3.0,表3: t=3.0 h 温度径向跨距 (表面-中心),0.1203,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cspan_h3.0,表4: t=3.0 h 水分径向跨距 (中心-表面),0.7603,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Wratio,剩余水量比例 W(10800)/W(0),0.54245521655641,-,源自 registry_q2_production,python src/q2_derive.py,python src/q2_derive.py,
DV_MLg_sum,比体积权 sum(MLg) = R^2/2,0.0002,m^2,解析,python src/q2_derive.py,python src/q2_derive.py,
DV_Cbar,3 h 体积平均含水率 Cbar,1.3832608022188,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_tauC_h,"湿分特征时间 R^2/D(C0,T0) 换算成小时",19.694683811292,h,由 registry_q2_model.C_tauC 换算,python src/q2_derive.py,python src/q2_derive.py,
DV_tauT_h,导热特征时间 R^2/alpha(C0) 换算成小时,0.76719267165678,h,由 registry_q2_model.C_tauT 换算,python src/q2_derive.py,python src/q2_derive.py,
DV_tauC_over_3h,湿分特征时间与 3 h 之比,6.5648946037639,-,解析比值,python src/q2_derive.py,python src/q2_derive.py,
DV_C0_pct,3 h 中心含水率占初值的比例,69.337254901961,%,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_CR_pct,3 h 表面含水率占初值的比例,39.521568627451,%,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Tspan_end,3 h 温度径向跨距,0.1203,K,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_C0_h0p5,0.5 h 中心含水率,2.5499,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_CR_h0p5,0.5 h 表面含水率,1.6475,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_C0_h0p5_pct,0.5 h 中心含水率相对初值的变化,0.0039215686274408,%,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cc_60,t=60 s 中心含水率,2.55,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cm_60,t=60 s r=1.0 cm 含水率,2.55,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cs_60,t=60 s 表面含水率,2.327,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cc_600,t=600 s 中心含水率,2.55,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cm_600,t=600 s r=1.0 cm 含水率,2.55,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cs_600,t=600 s 表面含水率,1.9317,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cc_1800,t=1800 s 中心含水率,2.5499,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cm_1800,t=1800 s r=1.0 cm 含水率,2.5257,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cs_1800,t=1800 s 表面含水率,1.6475,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cc_3600,t=3600 s 中心含水率,2.5261,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cm_3600,t=3600 s r=1.0 cm 含水率,2.3587,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cs_3600,t=3600 s 表面含水率,1.4699,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cc_7200,t=7200 s 中心含水率,2.1727,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cm_7200,t=7200 s r=1.0 cm 含水率,1.9249,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
DV_Cs_7200,t=7200 s 表面含水率,1.2303,kg/kg,源自 result2.xlsx,python src/q2_derive.py,python src/q2_derive.py,
