id,quantity,value,unit,uncertainty,source,command,note
EA_cs,附录3 隐含的干物质比热 c_s,1450,J/(kg K),sympy 解析解出,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EA_cl,附录3 隐含的液态水比热 c_l,4186,J/(kg K),sympy 解析解出,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EA_equiv_max,混合物关系与附录3 的最大相对差,1.9255615431797e-16,-,数值核验,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EB_rhos_2.55,干基骨架密度 rho_s(C=2.55),275.04225352113,kg/m^3,由附录3 rho 反推,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EB_rhos_2.0,干基骨架密度 rho_s(C=2.0),302,kg/m^3,由附录3 rho 反推,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EB_rhos_1.0,干基骨架密度 rho_s(C=1.0),389,kg/m^3,由附录3 rho 反推,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EB_rhos_0.5,干基骨架密度 rho_s(C=0.5),476,kg/m^3,由附录3 rho 反推,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EB_rhos_0.15,干基骨架密度 rho_s(C=0.15),581.91304347826,kg/m^3,由附录3 rho 反推,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EB_rhos_drift,rho_s 在 C:2.55->0.15 上的变化,111.57223518515,%,自洽性检查,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EC_V,集中质量的总体积权 sum(MLg),0.0002,m^2,= R^2/2,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EC_Sfalse,守恒形式的伪源项 c_l(T-Tref)rho_s dC/dt,-656.04748410407,W/m^3,量级估计,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EC_ratio,伪源项 / 主项,0.25202283011912,-,量级估计,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EC_cJgradT,被略去的 -c_l J_w.grad T 量级,0.8639904,W/m^3,量级估计,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
EC_cJgradT_rel,-c_l J_w.grad T 与主项之比,0.00033190479512488,-,量级估计,python src/q2_energy_algebra.py,python src/q2_energy_algebra.py,
