id,quantity,value,unit,uncertainty,source,command,note
EX_identity,rho cp - rho_s(c_s+C c_l),0,-,sympy,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_drhosdC_2.55,d rho_s/dC @ C=2.55,-41.420353104543,kg/m3 per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_lhs_gap_2.55,d(rho cp)/dC - c_l rho_s @ C=2.55,-502192.78714541,J/(m3 K) per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_drhosdC_1.0,d rho_s/dC @ C=1.0,-130.5,kg/m3 per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_lhs_gap_1.0,d(rho cp)/dC - c_l rho_s @ C=1.0,-735498,J/(m3 K) per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_drhosdC_0.15,d rho_s/dC @ C=0.15,-394.70699432892,kg/m3 per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_lhs_gap_0.15,d(rho cp)/dC - c_l rho_s @ C=0.15,-820161.66351607,J/(m3 K) per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_dCdt_volavg,3 h 内体积平均含水率的平均变化率,-0.00010803138888889,kg/(kg s),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_rhos_255,rho_s(C=2.55),275.04225352113,kg/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_resid,严格方程的残差项 -c_s(T-T_ref)(d rho_s/dC)dC/dt,-44.444940608014,W/m^3,量级估计,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_drcpdC_255,d(rho cp)/dC @ C=2.55,649134.08609403,J/(m3 K) per (kg/kg),,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_Sfalse_absT,"守恒形式伪源项 S_false = -T(d(rho cp)/dC)dC/dt (T=308 K, 正号=额外升温)",21599.071923924,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_Sfalse_7K,同上的 (T-T_ref)=7 K 口径,490.887998271,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_Sfalse_656K,原报告 656.05 W/m^3 对应的 (T-T_ref),9.3551889966247,K,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_main,主项 rho cp dT/dt (dT/dt=1e-3 K/s),2603.1272,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_Sfalse_pct,守恒形式伪源项占主项的比例,829.73555514014,%,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_resid_pct,严格形式残差项占主项的比例,1.7073672238535,%,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_ratio,"|S_false| / |R_0| (混合基准: S 用绝对 T, R0 用 6.85 K)",485.97369303334,-,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_ratio_coef,系数比 (与温度基准无关) |d(rho cp)/dC| / |c_s d rho_s/dC|,10.808181159995,-,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0_Tref0,T_ref=0.0 K 时的 R_0,-1998.4002492363,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0pct_Tref0,T_ref=0.0 K 时 R_0 占主项,76.769212401002,%,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_ratio_Tref0,T_ref=0.0 K 时的 |S|/|R_0|,10.808181159995,-,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_absTminusTref_Tref0,T_ref=0.0 K 时的 (T-T_ref),308,K,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0_Tref273,T_ref=273.15 K 时的 R_0,-226.11769053858,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0pct_Tref273,T_ref=273.15 K 时 R_0 占主项,8.6863865330355,%,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_ratio_Tref273,T_ref=273.15 K 时的 |S|/|R_0|,95.521371514444,-,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_absTminusTref_Tref273,T_ref=273.15 K 时的 (T-T_ref),34.85,K,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0_Tref301,T_ref=301.15 K 时的 R_0,-44.444940608014,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0pct_Tref301,T_ref=301.15 K 时 R_0 占主项,1.7073672238535,%,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_ratio_Tref301,T_ref=301.15 K 时的 |S|/|R_0|,485.97369303334,-,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_absTminusTref_Tref301,T_ref=301.15 K 时的 (T-T_ref),6.85,K,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0_Tref308,T_ref=308.0 K 时的 R_0,-0,W/m^3,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_R0pct_Tref308,T_ref=308.0 K 时 R_0 占主项,0,%,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_ratio_Tref308,T_ref=308.0 K 时的 |S|/|R_0|,inf,-,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
EX_absTminusTref_Tref308,T_ref=308.0 K 时的 (T-T_ref),0,K,,python src/q2_energy_exact.py,python src/q2_energy_exact.py,
