id,quantity,value,unit,uncertainty,source,command,note
FG_V11_dT,复算: 能量方程两种形式的温度最大差,17.274457167999,K,复现注册表 V11,q2_figures.py,python src/q2_figures.py,
FG_V11_dC,复算: 能量方程两种形式的水分最大差,0.23457361579963,kg/kg,复现注册表 V11,q2_figures.py,python src/q2_figures.py,
FG_T0_nc,非保守形式 t=10800 s 中心温度,49.768495394894,degC,,q2_figures.py,python src/q2_figures.py,
FG_T0_cs,守恒形式 t=10800 s 中心温度,64.564572513432,degC,,q2_figures.py,python src/q2_figures.py,
FG_TR_nc,非保守形式 t=10800 s 表面温度,49.888775052147,degC,,q2_figures.py,python src/q2_figures.py,
FG_TR_cs,守恒形式 t=10800 s 表面温度,59.059931028312,degC,,q2_figures.py,python src/q2_figures.py,
FG_Edef_nc,非保守形式能量收支缺口,52155.539664685,J/m (per 2pi),,q2_figures.py,python src/q2_figures.py,
FG_Edef_cs,守恒形式能量收支缺口,2.8623617254198e-08,J/m (per 2pi),,q2_figures.py,python src/q2_figures.py,
FG_Emain,能量方程主项量级 (EV 注册表),2603.1272,W/m^3,,q2_figures.py,python src/q2_figures.py,
FG_Sfalse,守恒形式伪源项 (EV 注册表),480.36279394706,W/m^3,,q2_figures.py,python src/q2_figures.py,
FG_Sfalse_pct,伪源项占主项的比例,18.453297017028,%,,q2_figures.py,python src/q2_figures.py,
FG_R0,严格形式残差项 (EV 注册表),-44.444369208491,W/m^3,,q2_figures.py,python src/q2_figures.py,
FG_R0_pct,残差项占主项的比例,1.7073452733501,%,,q2_figures.py,python src/q2_figures.py,
FG_S_over_R0,伪源项与残差项之比,10.808181159995,-,,q2_figures.py,python src/q2_figures.py,
FG_jac_M,Jacobian 示例网格数,30,-,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_n,Jacobian 未知量个数 2(M+1),62,-,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_nnz,Jacobian 非零元个数,364,-,求解器组装还原,q2_figures.py,python src/q2_figures.py,
FG_jac_dens,Jacobian 非零元占比,9.4693028095734,%,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_bw,Jacobian 带宽,3,-,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_nTT,Jacobian TT 块非零元,91,-,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_nTC,Jacobian TC 块非零元,91,-,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_nCT,Jacobian CT 块非零元,91,-,结构,q2_figures.py,python src/q2_figures.py,
FG_jac_nCC,Jacobian CC 块非零元,91,-,结构,q2_figures.py,python src/q2_figures.py,
FG_it_nsteps,Newton 迭代统计步数,43200,-,迭代统计,q2_figures.py,python src/q2_figures.py,
FG_it_mean,Newton 平均迭代次数,3.000162037037,-,迭代统计,q2_figures.py,python src/q2_figures.py,
FG_it_max,Newton 最大迭代次数,4,-,迭代统计,q2_figures.py,python src/q2_figures.py,
FG_qconv_1800,t=1800 s 对流供热 (per 2pi),3.09995,W/m,,q2_figures.py,python src/q2_figures.py,
FG_qevap_1800,t=1800 s 蒸发吸热 (per 2pi),0.06243619144181,W/m,,q2_figures.py,python src/q2_figures.py,
FG_qcond_1800,t=1800 s 净导入内部热流 (per 2pi),3.0375138085582,W/m,,q2_figures.py,python src/q2_figures.py,
FG_qdrive_1800,t=1800 s 表面对流驱动力 T_inf-T_R,6.1999,K,,q2_figures.py,python src/q2_figures.py,
FG_qratio_1800,t=1800 s q_evap/q_conv,0.020141031772064,-,,q2_figures.py,python src/q2_figures.py,
FG_Cbar_1800,t=1800 s 体积平均含水率,2.280819,kg/kg,梯形求积,q2_figures.py,python src/q2_figures.py,
FG_loss_1800,t=1800 s 累计失水率,10.556117647059,%,梯形求积,q2_figures.py,python src/q2_figures.py,
FG_spanT_1800,t=1800 s 温度径向跨距,3.2075,K,,q2_figures.py,python src/q2_figures.py,
FG_spanC_1800,t=1800 s 水分径向跨距,0.9024,kg/kg,,q2_figures.py,python src/q2_figures.py,
