id,quantity,value,unit,uncertainty,source,command,note
LH_psat_20,20 degC 饱和蒸气压,2339.3181833368,Pa,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_hfg_20,20 degC 汽化潜热 (IAPWS-95),2453519.2594198,J/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_clap_20,20 degC 精确 Clapeyron 潜热,2453519.3610216,J/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_Lcc_20,20 degC Clausius-Clapeyron 潜热,2456879.9413013,J/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_errcc_20,20 degC CC 近似偏差,0.1369739352407,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_cpl_20,20 degC 液态水比热,4184.3605144805,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_cpv0_20,20 degC 水蒸气理想气体比热,1863.1807003515,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_cpv_20,20 degC 水蒸气真实比热,1905.8993811063,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_dcp0_20,20 degC c0_pv - c_pl,-2321.179814129,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_dLdT_20,20 degC dH_evap/dT 数值,-2367.1672490963,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_vg_20,20 degC 饱和蒸气比容,57.756701286831,m^3/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_Z_20,20 degC 压缩因子,0.99864949808886,-,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_invZ_20,20 degC 的 1/Z-1,0.13523282329984,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_vfvg_20,20 degC 的 v_f/v_g (百分比),0.0017345893403407,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_ccpred_20,20 degC 的 CC 偏差精确预测 1/(Z(1-vf/vg))-1,0.13696978850353,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_ccresid_20,"20 degC 的 CC 实测偏差减 (1/Z-1), 即 v_f/v_g 的贡献",0.0017411119408667,百分点,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_ccsum_20,20 degC 的 (1/Z-1) + v_f/v_g,0.13696741264018,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_invZ_share_20,20 degC 的气相非理想性在 CC 偏差中的占比,98.733575157109,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_vfvg_share_20,20 degC 的被略去 v_f/v_g 在 CC 偏差中的占比,1.2664248428914,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_dpdT_20,20 degC d p_sat/dT,144.91213105819,Pa/K,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_psat_25,25 degC 饱和蒸气压,3169.9293388732,Pa,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_hfg_25,25 degC 汽化潜热 (IAPWS-95),2441676.1749126,J/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_clap_25,25 degC 精确 Clapeyron 潜热,2441676.267406,J/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_Lcc_25,25 degC Clausius-Clapeyron 潜热,2445738.8422331,J/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_errcc_25,25 degC CC 近似偏差,0.16638845733217,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_cpl_25,25 degC 液态水比热,4181.5995698017,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_cpv0_25,25 degC 水蒸气理想气体比热,1864.3811212926,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_cpv_25,25 degC 水蒸气真实比热,1911.8233536062,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_dcp0_25,25 degC c0_pv - c_pl,-2317.218448509,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_dLdT_25,25 degC dH_evap/dT 数值,-2370.4693720408,J/(kg K),,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_vg_25,25 degC 饱和蒸气比容,43.337312511071,m^3/kg,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_Z_25,25 degC 压缩因子,0.99836202340738,-,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_invZ_25,25 degC 的 1/Z-1,0.16406639617867,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_vfvg_25,25 degC 的 v_f/v_g (百分比),0.0023144159083976,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_ccpred_25,25 degC 的 CC 偏差精确预测 1/(Z(1-vf/vg))-1,0.16638466292018,%,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
LH_ccresid_25,"25 degC 的 CC 实测偏差减 (1/Z-1), 即 v_f/v_g 的贡献",0.0023220611534952,百分点,,outputs/registry_q2_latent_heat.csv,python src/q2_latent_heat.py,
