id,quantity,value,unit,uncertainty,source,command,note
A_rho_2.55,附录3 rho(C=2.55),976.4,kg/m^3,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_cp_2.55,附录3 cp(C=2.55),3415.2957746479,J/(kg K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_k_2.55,附录3 k(C=2.55),0.48295774647887,W/(m K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_alpha_2.55,附录3 alpha(C=2.55),1.4482817057045e-07,m^2/s,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rcp_2.55,附录3 rho*cp(C=2.55),3334694.7943662,J/(m^3 K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rho_2.0,附录3 rho(C=2.0),906,kg/m^3,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_cp_2.0,附录3 cp(C=2.0),3274,J/(kg K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_k_2.0,附录3 k(C=2.0),0.46333333333333,W/(m K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_alpha_2.0,附录3 alpha(C=2.0),1.5620202968243e-07,m^2/s,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rcp_2.0,附录3 rho*cp(C=2.0),2966244,J/(m^3 K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rho_1.0,附录3 rho(C=1.0),778,kg/m^3,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_cp_1.0,附录3 cp(C=1.0),2818,J/(kg K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_k_1.0,附录3 k(C=1.0),0.4,W/(m K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_alpha_1.0,附录3 alpha(C=1.0),1.8244812543674e-07,m^2/s,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rcp_1.0,附录3 rho*cp(C=1.0),2192404,J/(m^3 K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rho_0.5,附录3 rho(C=0.5),714,kg/m^3,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_cp_0.5,附录3 cp(C=0.5),2362,J/(kg K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_k_0.5,附录3 k(C=0.5),0.33666666666667,W/(m K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_alpha_0.5,附录3 alpha(C=0.5),1.9962825660888e-07,m^2/s,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rcp_0.5,附录3 rho*cp(C=0.5),1686468,J/(m^3 K),,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
A_rho_0.15,附录3 rho(C=0.15),669.2,kg/m^3,,python src/q2_model_numbers.py,python src/q2_model_numbers.py,
