id,quantity,value,unit,uncertainty,source,command,note
MD_CR1_M200,M=200: t=1 s 表面含水率,2.5238831693749,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR60_M200,M=200: t=60 s 表面含水率,2.3272953690411,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR1_M400,M=400: t=1 s 表面含水率,2.5206741917737,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR60_M400,M=400: t=60 s 表面含水率,2.3270504825274,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR1_M800,M=800: t=1 s 表面含水率,2.5200235976934,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR60_M800,M=800: t=60 s 表面含水率,2.3269894701111,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR1_M1600,M=1600: t=1 s 表面含水率,2.5198688166489,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR60_M1600,M=1600: t=60 s 表面含水率,2.3269742299514,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR1_M3200,M=3200: t=1 s 表面含水率,2.5198305280119,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_CR60_M3200,M=3200: t=60 s 表面含水率,2.3269704207181,kg/kg,,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC1_200_400,"表面含水率差 t=1 s, M=200->400",0.0032089776011475,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC60_200_400,"表面含水率差 t=60 s, M=200->400",0.00024488651374233,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC1_400_800,"表面含水率差 t=1 s, M=400->800",0.00065059408031898,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC60_400_800,"表面含水率差 t=60 s, M=400->800",6.1012416287198e-05,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_ratio1_400_800,t=1 s 表面含水率差的比值 M=400->800,4.9323805706534,-,收敛比,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_ratio60_400_800,t=60 s 表面含水率差的比值 M=400->800,4.0137160375618,-,收敛比,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC1_800_1600,"表面含水率差 t=1 s, M=800->1600",0.00015478104453681,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC60_800_1600,"表面含水率差 t=60 s, M=800->1600",1.5240159693786e-05,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_ratio1_800_1600,t=1 s 表面含水率差的比值 M=800->1600,4.2033188383365,-,收敛比,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_ratio60_800_1600,t=60 s 表面含水率差的比值 M=800->1600,4.0033974389439,-,收敛比,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC1_1600_3200,"表面含水率差 t=1 s, M=1600->3200",3.8288636952544e-05,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_dC60_1600_3200,"表面含水率差 t=60 s, M=1600->3200",3.8092332856898e-06,kg/kg,网格加密,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_ratio1_1600_3200,t=1 s 表面含水率差的比值 M=1600->3200,4.0424798806145,-,收敛比,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_ratio60_1600_3200,t=60 s 表面含水率差的比值 M=1600->3200,4.0008470342414,-,收敛比,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_delta1,t=1 s 表面边界层厚度 sqrt(D*1s),0.0075111120168892,cm,解析估计,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_delta60,t=60 s 表面边界层厚度 sqrt(D*60s),0.05818082350582,cm,解析估计,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_delta_ratio,t=1 s 边界层厚度 / 最细网格 dr (M=3200),12.017779227023,-,解析估计,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_prof_M200_k0,"M=200: t=1 s, 自表面向内第 0 个节点的 C",2.5238831693749,kg/kg,径向剖面,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_prof_M200_k1,"M=200: t=1 s, 自表面向内第 1 个节点的 C",2.5440289180818,kg/kg,径向剖面,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_prof_M200_k2,"M=200: t=1 s, 自表面向内第 2 个节点的 C",2.548991976052,kg/kg,径向剖面,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
MD_prof_M200_k4,"M=200: t=1 s, 自表面向内第 4 个节点的 C",2.5499854036055,kg/kg,径向剖面,python src/q2_moist_diag.py,python src/q2_moist_diag.py,
