id,quantity,value,unit,uncertainty,source,command,note
W11_area_end,单端面换热面积/侧面积 R/(2L),0.04,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_area_both,双端面换热面积/侧面积 R/L,0.08,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_tscale_ax,"轴向湿分特征时间 (L/2)^2/D(C*,50C)",19528300.868584,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_tscale_ax_h,轴向湿分特征时间,5424.5280190512,h,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_tscale_ratio,轴向/径向湿分时间尺度比 ((L/2)/R)^2,39.0625,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_tscale_over_tdry,轴向特征时间/t_dry,94.46721077071,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_pen_dmax_cm,"恒取 D(C0,50C) 的轴向穿透深度",5.2770485307232,cm,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_pen_dstar_cm,"取 D(C*,50C) 的轴向穿透深度",1.2860843892319,cm,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_pen_alpha_cm,热扩散轴向穿透深度 (alpha(C0)),17.302872391728,cm,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_D_over_alpha,"D(C*,50C)/alpha(C0)",0.0055246214290612,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_prod,"生产基准复算 t_dry (FEM lumped, rtol=1e-9)",206720.4134563,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_1dfv,一维 FV halfcv 参照 t_dry (rtol=1e-8),206716.21000949,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_1dfv_h,一维 FV halfcv 参照 t_dry,57.42116944708,h,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_1dfv_r9,一维 FV halfcv 参照 t_dry (rtol=1e-9),206716.17895047,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_1dfv_tol,一维参照容限敏感性 |r9-r8|,0.031059018190717,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_2d_nz0,二维代码 Nz=0 对角化算例 t_dry,206716.21000948,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_val_1d,对角化偏差 |t_2d(Nz=0)-t_1d(halfcv)|,1.746229827404e-09,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_2d_n25,二维 2d_Nz25 t_dry,206707.97760713,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_t_2d_n25_h,二维 2d_Nz25 t_dry,57.418882668646,h,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dt_axial_n25,二维 2d_Nz25 轴向效应 t2D-t1D,-8.2324023612018,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dC_mid_n25,二维 2d_Nz25 中截面 max|dC| (vs 1D FV),2.3272089047621e-05,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dT_mid_n25,二维 2d_Nz25 中截面 max|dT| (vs 1D FV),0.001745566225452,K,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
