id,quantity,value,unit,uncertainty,source,command,note
MC_s_rho0_m,单因素 rho0-5% 的 t_dry,57.419085157174,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_rho0_p,单因素 rho0+5% 的 t_dry,57.425601463479,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_rho0_d,单因素 rho0 ±5% 的半程变化,0.0032581531525508,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_krho_m,单因素 krho-5% 的 t_dry,57.420976752599,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_krho_p,单因素 krho+5% 的 t_dry,57.423696320361,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_krho_d,单因素 krho ±5% 的半程变化,0.001359783881199,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_cp0_m,单因素 cp0-5% 的 t_dry,57.42030769779,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_cp0_p,单因素 cp0+5% 的 t_dry,57.424370700069,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_cp0_d,单因素 cp0 ±5% 的半程变化,0.0020315011396193,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kcp_m,单因素 kcp-5% 的 t_dry,57.41975231744,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kcp_p,单因素 kcp+5% 的 t_dry,57.424925068923,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kcp_d,单因素 kcp ±5% 的半程变化,0.0025863757415934,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_k0_m,单因素 k0-5% 的 t_dry,57.422663368119,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_k0_p,单因素 k0+5% 的 t_dry,57.422025538112,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_k0_d,单因素 k0 ±5% 的半程变化,-0.0003189150036782,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kk_m,单因素 kk-5% 的 t_dry,57.422712606839,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kk_p,单因素 kk+5% 的 t_dry,57.421981175012,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kk_d,单因素 kk ±5% 的半程变化,-0.00036571591342138,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_D0_m,单因素 D0-5% 的 t_dry,60.093409705303,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_D0_p,单因素 D0+5% 的 t_dry,55.011266693409,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_D0_d,单因素 D0 ±5% 的半程变化,-2.5410715059472,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kD_m,单因素 kD-5% 的 t_dry,51.061456270177,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kD_p,单因素 kD+5% 的 t_dry,64.778646416054,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_kD_d,单因素 kD ±5% 的半程变化,6.8585950729386,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_EA_m,单因素 EA-5% 的 t_dry,34.998759217725,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_EA_p,单因素 EA+5% 的 t_dry,99.236509392289,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_s_EA_d,单因素 EA ±5% 的半程变化,32.118875087282,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_base,蒙特卡洛基准 t_dry,206720.4134563,s,,outputs/q3_mc.log,python src/q3_mc.py,
MC_mean,蒙特卡洛 t_dry 均值,62.245665226233,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_std,蒙特卡洛 t_dry 标准差,19.684533595908,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_min,蒙特卡洛 t_dry 最小值,33.674908815428,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_max,蒙特卡洛 t_dry 最大值,107.56940267461,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_p2.5,蒙特卡洛 t_dry P2.5,35.106220373327,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_p97.5,蒙特卡洛 t_dry P97.5,99.874835086986,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_env_lo,蒙特卡洛相对基准下包络,23.747428255765,h,,outputs/q3_mc.log,python src/q3_mc.py,
MC_env_hi,蒙特卡洛相对基准上包络,50.147065603418,h,,outputs/q3_mc.log,python src/q3_mc.py,
