id,quantity,value,unit,uncertainty,source,command,note
V1_M100,W1 t_dry M=100,206397.93070689,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_M200,W1 t_dry M=200(生产),206720.4134563,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_M400,W1 t_dry M=400,206857.29557763,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_M100_h,W1 t_dry M=100,57.332758529693,h,,outputs/q3_verify.log,python src/q3_verify.py,
V1_M200_h,W1 t_dry M=200(生产),57.422337071193,h,,outputs/q3_verify.log,python src/q3_verify.py,
V1_M400_h,W1 t_dry M=400,57.460359882674,h,,outputs/q3_verify.log,python src/q3_verify.py,
V1_d1,W1 相邻网格差 d1,322.48274940232,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_d2,W1 相邻网格差 d2,136.8821213289,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_ratio,W1 差分比 d1/d2,2.3559157782735,-,,outputs/q3_verify.log,python src/q3_verify.py,
V1_order,W1 实测空间收敛阶,1.2362879651281,-,,outputs/q3_verify.log,python src/q3_verify.py,
V1_richardson,W1 Richardson 外推 t_dry,206958.24736499,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_richardson_h,W1 Richardson 外推 t_dry,57.48840204583,h,,outputs/q3_verify.log,python src/q3_verify.py,
V1_richardson_p1,W1 p=1 保守外推 t_dry,206994.17769895,s,,outputs/q3_verify.log,python src/q3_verify.py,
V1_dC_200_400,W1 6h 时刻 M200-400 最大水分偏差,0.0002426869777922,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V1_dT_200_400,W1 6h 时刻 M200-400 最大温度偏差,3.5377304925532e-06,K,,outputs/q3_verify.log,python src/q3_verify.py,
V2_M200_diff,W2 M=200 rtol 1e-7 与 1e-9 的 t_dry 差,0.17077463804162,s,,outputs/q3_verify.log,python src/q3_verify.py,
V2_M400_diff,W2 M=400 rtol 1e-7 与 1e-9 的 t_dry 差,0.17727450211532,s,,outputs/q3_verify.log,python src/q3_verify.py,
V3_ms600_diff,W3 max_step=600s 与 3600s 的 t_dry 差,-0.031947544077411,s,,outputs/q3_verify.log,python src/q3_verify.py,
V3_ms600_steps,W3 max_step=600s 步数,3456,-,,outputs/q3_verify.log,python src/q3_verify.py,
V3_ms1800_diff,W3 max_step=1800s 与 3600s 的 t_dry 差,-0.016680157190422,s,,outputs/q3_verify.log,python src/q3_verify.py,
V3_ms1800_steps,W3 max_step=1800s 步数,3312,-,,outputs/q3_verify.log,python src/q3_verify.py,
V3_base_steps,W3 max_step=3600s 步数,3299,-,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dC,W4 q2_dt025 全时段最大水分偏差,3.9755327624347e-05,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dT,W4 q2_dt025 全时段最大温度偏差,0.00042834879201337,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dC_w0_1p8e3 s,W4 q2_dt025 0~1.8e3 s 最大水分偏差,3.9755327624347e-05,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dT_w0_1p8e3 s,W4 q2_dt025 0~1.8e3 s 最大温度偏差,0.00042834879201337,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dC_w1p8e3_7p2e3 s,W4 q2_dt025 1.8e3~7.2e3 s 最大水分偏差,1.8079798446369e-05,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dT_w1p8e3_7p2e3 s,W4 q2_dt025 1.8e3~7.2e3 s 最大温度偏差,0.00024692241765933,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dC_w7p2e3_1p44e4 s,W4 q2_dt025 7.2e3~1.44e4 s 最大水分偏差,6.6566712282334e-06,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt025_dT_w7p2e3_1p44e4 s,W4 q2_dt025 7.2e3~1.44e4 s 最大温度偏差,0.00013573256336485,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dC,W4 q2_dt0125 全时段最大水分偏差,1.9855222507026e-05,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dT,W4 q2_dt0125 全时段最大温度偏差,0.00021134930778999,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dC_w0_1p8e3 s,W4 q2_dt0125 0~1.8e3 s 最大水分偏差,1.9855222507026e-05,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dT_w0_1p8e3 s,W4 q2_dt0125 0~1.8e3 s 最大温度偏差,0.00021134930778999,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dC_w1p8e3_7p2e3 s,W4 q2_dt0125 1.8e3~7.2e3 s 最大水分偏差,8.914716714159e-06,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dT_w1p8e3_7p2e3 s,W4 q2_dt0125 1.8e3~7.2e3 s 最大温度偏差,0.00011590485132729,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dC_w7p2e3_1p44e4 s,W4 q2_dt0125 7.2e3~1.44e4 s 最大水分偏差,3.3868245032931e-06,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V4_q2_dt0125_dT_w7p2e3_1p44e4 s,W4 q2_dt0125 7.2e3~1.44e4 s 最大温度偏差,7.2363337380921e-05,K,,outputs/q3_verify.log,python src/q3_verify.py,
V4_ratio,"W4 时间步减半的偏差比 (应约 2, 一阶归因)",2.0022604939471,-,,outputs/q3_verify.log,python src/q3_verify.py,
V5_sparse_diff,W5 解析 Jacobian 与 jac_sparsity 的 t_dry 差,2.0372681319714e-10,s,,outputs/q3_verify.log,python src/q3_verify.py,
V5_sparse_steps,W5 jac_sparsity 步数,3299,-,,outputs/q3_verify.log,python src/q3_verify.py,
V5_dense_tdry,W5 全稠密差分 t_dry (rtol=1e-7),206720.58423093,s,,outputs/q3_verify.log,python src/q3_verify.py,
V5_dense_nfev,W5 全稠密差分 nfev,3368,-,,outputs/q3_verify.log,python src/q3_verify.py,
V6_radau,W6 Radau t_dry,206720.38190608,s,,outputs/q3_verify.log,python src/q3_verify.py,
V6_radau_diff,W6 Radau 与 BDF 的 t_dry 差,-0.031550220679492,s,,outputs/q3_verify.log,python src/q3_verify.py,
V6_lsoda,W6 LSODA t_dry,206720.37436616,s,,outputs/q3_verify.log,python src/q3_verify.py,
V6_lsoda_diff,W6 LSODA 与 BDF 的 t_dry 差,-0.039090134727303,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tm1,W7 Tbar = 49 degC t_dry,213431.73191559,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tm1_dh,W7 Tbar = 49 degC 的 t_dry 变化,1.8642551275814,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tp1,W7 Tbar = 51 degC t_dry,200302.31480892,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tp1_dh,W7 Tbar = 51 degC 的 t_dry 变化,-1.7828051798279,h,,outputs/q3_verify.log,python src/q3_verify.py,
