key,quantity,value,unit,source
ST_q3_C0_rho,ST q3_C0 rho,976.4,-,q45_stiffness.py
ST_q3_C0_cp,ST q3_C0 cp,3415.295774647887,-,q45_stiffness.py
ST_q3_C0_k,ST q3_C0 k,0.48295774647887324,-,q45_stiffness.py
ST_q3_C0_D,ST q3_C0 D,1.3470968217415811e-08,-,q45_stiffness.py
ST_q3_C0_alpha,ST q3_C0 alpha,1.448281705704542e-07,-,q45_stiffness.py
ST_q3_C0_tau_therm_s,ST q3_C0 tau_therm_s,2761.8936179644206,-,q45_stiffness.py
ST_q3_C0_tau_moist_s,ST q3_C0 tau_moist_s,29693.4855419571,-,q45_stiffness.py
ST_q3_Cstar_rho,ST q3_Cstar rho,669.2,-,q45_stiffness.py
ST_q3_Cstar_cp,ST q3_Cstar cp,1806.8695652173913,-,q45_stiffness.py
ST_q3_Cstar_k,ST q3_Cstar k,0.25956521739130434,-,q45_stiffness.py
ST_q3_Cstar_D,ST q3_Cstar D,8.001208146652626e-10,-,q45_stiffness.py
ST_q3_Cstar_alpha,ST q3_Cstar alpha,2.1466624526400237e-07,-,q45_stiffness.py
ST_q3_Cstar_tau_therm_s,ST q3_Cstar tau_therm_s,1863.3576951423786,-,q45_stiffness.py
ST_q3_Cstar_tau_moist_s,ST q3_Cstar tau_moist_s,499924.5022357573,-,q45_stiffness.py
ST_q4_C0_rho,ST q4_C0 rho,989.5,-,q45_stiffness.py
ST_q4_C0_cp,ST q4_C0 cp,3394.366197183099,-,q45_stiffness.py
ST_q4_C0_k,ST q4_C0 k,0.26366197183098594,-,q45_stiffness.py
ST_q4_C0_D,ST q4_C0 D,2.5002509122378996e-09,-,q45_stiffness.py
ST_q4_C0_alpha,ST q4_C0 alpha,7.850060489915901e-08,-,q45_stiffness.py
ST_q4_C0_tau_therm_s,ST q4_C0 tau_therm_s,5095.502136752137,-,q45_stiffness.py
ST_q4_C0_tau_moist_s,ST q4_C0 tau_moist_s,159983.94322831064,-,q45_stiffness.py
ST_q4_Cstar_R0_rho,ST q4_Cstar_R0 rho,773.5,-,q45_stiffness.py
ST_q4_Cstar_R0_cp,ST q4_Cstar_R0 cp,2130.4347826086955,-,q45_stiffness.py
ST_q4_Cstar_R0_k,ST q4_Cstar_R0 k,0.14608695652173914,-,q45_stiffness.py
ST_q4_Cstar_R0_D,ST q4_Cstar_R0 D,3.806169274383754e-10,-,q45_stiffness.py
ST_q4_Cstar_R0_alpha,ST q4_Cstar_R0 alpha,8.865084495336598e-08,-,q45_stiffness.py
ST_q4_Cstar_R0_tau_therm_s,ST q4_Cstar_R0 tau_therm_s,4512.083333333333,-,q45_stiffness.py
ST_q4_Cstar_R0_tau_moist_s,ST q4_Cstar_R0 tau_moist_s,1050925.4086308677,-,q45_stiffness.py
ST_q4_Cstar_Rend_rho,ST q4_Cstar_Rend rho,773.5,-,q45_stiffness.py
ST_q4_Cstar_Rend_cp,ST q4_Cstar_Rend cp,2130.4347826086955,-,q45_stiffness.py
ST_q4_Cstar_Rend_k,ST q4_Cstar_Rend k,0.14608695652173914,-,q45_stiffness.py
ST_q4_Cstar_Rend_D,ST q4_Cstar_Rend D,3.806169274383754e-10,-,q45_stiffness.py
ST_q4_Cstar_Rend_alpha,ST q4_Cstar_Rend alpha,8.865084495336598e-08,-,q45_stiffness.py
ST_q4_Cstar_Rend_tau_therm_s,ST q4_Cstar_Rend tau_therm_s,1624.3499999999997,-,q45_stiffness.py
ST_q4_Cstar_Rend_tau_moist_s,ST q4_Cstar_Rend tau_moist_s,378333.1471071124,-,q45_stiffness.py
ST_ratio_q3_C0,ST q3_C0 尺度分离比,10.751132972254696,-,q45_stiffness.py
ST_ratio_q3_Cstar,ST q3_Cstar 尺度分离比,268.2922895260634,-,q45_stiffness.py
ST_ratio_q4_C0,ST q4_C0 尺度分离比,31.39709079393775,-,q45_stiffness.py
ST_ratio_q4_Cstar_Rend,ST q4_Cstar_Rend 尺度分离比,232.9135636452196,-,q45_stiffness.py
SP_q3_t0_re_max,问题三谱 t=0 re_max,-4.3872360902354106e-05,-,q45_stiffness.py
SP_q3_t0_re_min,问题三谱 t=0 re_min,-59.84001967089516,-,q45_stiffness.py
SP_q3_t0_n_pos,问题三谱 t=0 n_pos,0.0,-,q45_stiffness.py
SP_q3_t0_n_neg,问题三谱 t=0 n_neg,402.0,-,q45_stiffness.py
SP_q3_t0_abs_max,问题三谱 t=0 abs_max,59.84001967089516,-,q45_stiffness.py
SP_q3_t0_abs_min,问题三谱 t=0 abs_min,4.3872360902354106e-05,-,q45_stiffness.py
SP_q3_t0_stiff,问题三谱 t=0 stiff,1363957.1347454945,-,q45_stiffness.py
SP_q3_tt_dry_re_max,问题三谱 t=t_dry re_max,-9.061424209259808e-06,-,q45_stiffness.py
SP_q3_tt_dry_re_min,问题三谱 t=t_dry re_min,-88.69571449742391,-,q45_stiffness.py
SP_q3_tt_dry_n_pos,问题三谱 t=t_dry n_pos,0.0,-,q45_stiffness.py
SP_q3_tt_dry_n_neg,问题三谱 t=t_dry n_neg,402.0,-,q45_stiffness.py
SP_q3_tt_dry_abs_max,问题三谱 t=t_dry abs_max,88.69571449742391,-,q45_stiffness.py
SP_q3_tt_dry_abs_min,问题三谱 t=t_dry abs_min,9.061424209259808e-06,-,q45_stiffness.py
SP_q3_tt_dry_stiff,问题三谱 t=t_dry stiff,9788275.269883774,-,q45_stiffness.py
SP_q4_t0_re_max,问题四谱 t=0 re_max,-1.329440991769335e-05,-,q45_stiffness.py
SP_q4_t0_re_min,问题四谱 t=0 re_min,-32.43483448586207,-,q45_stiffness.py
SP_q4_t0_n_pos,问题四谱 t=0 n_pos,0.0,-,q45_stiffness.py
SP_q4_t0_n_neg,问题四谱 t=0 n_neg,402.0,-,q45_stiffness.py
SP_q4_t0_abs_max,问题四谱 t=0 abs_max,32.43483448586207,-,q45_stiffness.py
SP_q4_t0_abs_min,问题四谱 t=0 abs_min,1.329440991769335e-05,-,q45_stiffness.py
SP_q4_t0_stiff,问题四谱 t=0 stiff,2439734.797307174,-,q45_stiffness.py
SP_q4_tt_dry_re_max,问题四谱 t=t_dry re_max,-1.2299807102700237e-05,-,q45_stiffness.py
SP_q4_tt_dry_re_min,问题四谱 t=t_dry re_min,-101.74625421335176,-,q45_stiffness.py
SP_q4_tt_dry_n_pos,问题四谱 t=t_dry n_pos,0.0,-,q45_stiffness.py
SP_q4_tt_dry_n_neg,问题四谱 t=t_dry n_neg,402.0,-,q45_stiffness.py
SP_q4_tt_dry_abs_max,问题四谱 t=t_dry abs_max,101.74625421335176,-,q45_stiffness.py
SP_q4_tt_dry_abs_min,问题四谱 t=t_dry abs_min,1.2299807102700237e-05,-,q45_stiffness.py
SP_q4_tt_dry_stiff,问题四谱 t=t_dry stiff,8272182.918300801,-,q45_stiffness.py
EXP_q3_dtexp,问题三 (附录3) 显式稳定步长,0.022549003763401538,s,q45_stiffness.py
EXP_q3_N,问题三 (附录3) 显式总步数,9167607.386354707,1,q45_stiffness.py
EXP_q3_Nratio,问题三 (附录3) 显式步数 / BDF 步数,2778.9049367549887,1,q45_stiffness.py
EXP_q3_lam_max_est,问题三 (附录3) 谱估计 |lam|max,64.39987357920072,1/s,q45_stiffness.py
EXP_q3_lam_min_est,问题三 (附录3) 谱估计 |lam|min,1.1568146738430367e-05,1/s,q45_stiffness.py
