key,quantity,value,unit,derived_from,note
D_slow_by_app4,附录4 物性使 t_dry 变慢的倍数,2.2606289972647517,1,V0b_app4_Rconst / V0_tdry_q3ref,
D_speedup_by_shrink,收缩使 t_dry 加快的倍数,2.5410609205167964,1,V0b_app4_Rconst / PROD_tdry,
D_moist_reduction_pct,收缩使 t_dry 缩短的百分比（附录4 口径）,60.646358695067335,%,PROD_tdry / V0b_app4_Rconst,
D_net_vs_q3_pct,问题四相对问题三 t_dry 的净变化率,-11.036017318113371,%,PROD_tdry / V0_tdry_q3ref,
D_delta_vs_q3_h,问题四相对问题三 t_dry 的差值,-6.337139063642454,h,PROD_tdry / V0_tdry_q3ref,
D_noshink_delta_h,冻结收缩相对生产解的 t_dry 增量,78.72540226630088,h,V0b_app4_Rconst / PROD_tdry,
D_a3shrink_ratio,只加收缩（附录3 物性）时 t_dry 的缩小倍数,2.275793335615916,1,V0_tdry_q3ref / V0b_app3_shrink,
D_order_p_pre,由 M=100→200→400 估计的收敛阶 (前渐近),1.5065134152681532,1,V1_p_100 / 推导,
D_order_p,渐近收敛阶 p (由 M=800→1600→3200),1.9508031191673696,1,V1_p_asym / 推导,
D_diff_ratio,M=800→1600→3200 的相邻差之比,3.8658967834006077,1,V1_p_asym / 推导,
D_richardson_s,Richardson 外推 t_dry (渐近阶),183946.1680499342,s,V1_rich_s / 推导,
D_richardson_h,Richardson 外推 t_dry (渐近阶),51.09615779164839,h,V1_rich_s / 推导,
D_grid_err_M100,M=100 相对外推极限的误差,-0.03304392340403865,h,V1_err_M100 / 推导,
D_grid_err_M200,M=200 相对外推极限的误差,-0.010959784096396308,h,V1_err_M200 / 推导,
D_grid_err_M400,M=400 相对外推极限的误差,-0.0031870331706886647,h,V1_err_M400 / 推导,
D_grid_err_M800,M=800 相对外推极限的误差,-0.0008494005642407704,h,V1_err_M800 / 推导,
D_grid_err_M1600,M=1600 相对外推极限的误差,-0.00021971630693264565,h,V1_err_M1600 / 推导,
D_grid_err_M3200,M=3200 相对外推极限的误差,-5.683449901375247e-05,h,V1_err_M3200 / 推导,
D_FV_p,独立 FV 格式的实测收敛阶,1.0425785611341505,1,V5b_p_FV / 推导,
D_FV_rich_h,独立 FV 的一阶外推极限,51.097740749248125,h,V5b_FV_rich / 推导,
D_FV_vs_main_h,FV 外推极限与主格式 M=3200 之差,0.0016397920987462082,h,V5b_limit_diff / 推导,
D_FV_diff_M100,FV 与主格式 t_dry 之差 (M=100),-0.4612772241266551,h,V5b_diff_M100 / 推导,
D_FV_diff_M200,FV 与主格式 t_dry 之差 (M=200),-0.23005322185671603,h,V5b_diff_M200 / 推导,
D_FV_diff_M400,FV 与主格式 t_dry 之差 (M=400),-0.11485524907973337,h,V5b_diff_M400 / 推导,
D_FV_diff_M800,FV 与主格式 t_dry 之差 (M=800),-0.057380261761104015,h,V5b_diff_M800 / 推导,
D_main_M3200_h,主格式 M=3200 的 t_dry,51.096100957149375,h,V1_M3200 / 推导,
D_dT_domain_M400,两格式在 M=400 的全域最大温度差 (生产口径),2.318808856216492e-05,K,V5_dT_app4_400 / 推导,
D_dT_domain_M400_app3,两格式在 M=400 的全域最大温度差 (附录3),1.7739663803695294e-05,K,V5_dT_app3_400 / 推导,
D_dTsurf_M400,两格式在 M=400 的表面温度差 (生产口径),2.0747426788148005e-05,K,V5_dTsurf_app4_400 / 推导,
D_rtol_span_s,三种 rtol 下 t_dry 的极差,0.10980239600758068,s,V2_rtol1e7 / V2_rtol1e11,
D_rtol_span_h,三种 rtol 下 t_dry 的极差,3.05006655576613e-05,h,V2_rtol1e7 / V2_rtol1e11,
D_interp_s,线性插值与 PCHIP 的 t_dry 差,12.60599734337302,s,V4_V4_lin / PROD_tdry,
D_interp_h,线性插值与 PCHIP 的 t_dry 差,0.0035016659287147277,h,V4_V4_lin / PROD_tdry,
D_tau1800_s,过渡段 1800 s 相对 600 s 的 t_dry 差,0.08653180990950204,s,V4_V4_tau1800 / PROD_tdry,
D_shrink_frac_6h,前 6 h 完成的收缩量占全程的比例,0.7805486284289275,1,"附件2 R(0),R(6h),R(72h) / 推导",
D_shrink_ratio,末半径与初始半径之比,0.599,1,附件2 / 推导,
D_boost_end,末段几何增强因子 (R0/R_END)^2,2.7870602367328963,1,附件2 / 推导,
D_R_at_tdry_cm,t_dry 时刻的半径,1.2,cm,附件2 / PROD_tdry,
D_n60,result4.xlsx 数据行数,3065.0,1,PROD_tdry / 推导,
D_last_sec,result4.xlsx 末行时间,183900.0,s,PROD_tdry / 推导,
D_ncols_radius,"result4.xlsx 半径列数（0.0~2.0, 步长 0.1）",21.0,1,题面口径 / 推导,
D_tcross_r0.5_h,r=0.5 cm 首次达标时刻,46.40258552039867,h,Q4_tcross_r0.5 / 推导,
D_tcross_r1_h,r=1 cm 首次达标时刻,29.7903494858886,h,Q4_tcross_r1 / 推导,
